cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
21310;Blagny sur vingeanne;228;260;290;320;340;519;597;649;727
21540;Blaisy bas;204;234;264;294;314;467;537;584;654
21540;Blaisy haut;204;234;264;294;314;467;537;584;654
21320;Blancey;220;251;281;311;331;502;577;627;702
21430;Blanot;218;249;279;309;329;497;572;622;696
21690;Blessey;185;213;243;273;293;426;490;532;596
21440;Bligny le sec;190;218;248;278;298;437;502;546;611
21200;Bligny les beaune;281;317;347;377;397;634;729;792;887
21360;Bligny sur ouche;243;276;306;336;356;552;634;689;772
21700;Boncourt le bois;262;296;326;356;376;593;682;741;830
21250;Bonnencontre;263;297;327;357;377;595;684;744;833
21520;Boudreville;142;166;196;226;246;333;383;416;466
21360;Bouhey;242;275;305;335;355;549;632;687;769
21420;Bouilland;249;282;312;342;362;565;649;706;790
21330;Bouix;133;157;187;217;237;313;360;391;438
21610;Bourberain;218;249;279;309;329;497;572;622;696
21250;Bousselange;292;329;359;389;409;658;756;822;921
21260;Boussenois;217;248;278;308;328;495;569;619;693
21350;Boussey;204;234;264;294;314;467;537;584;654
21690;Boux sous salmaise;191;219;249;279;299;439;505;549;614
21200;Bouze les beaune;284;320;350;380;400;640;736;800;896
21350;Brain;202;231;261;291;311;463;532;578;648
21390;Braux;200;229;259;289;309;458;527;573;642
21430;Brazey en morvan;216;247;277;307;327;493;567;616;690
21470;Brazey en plaine;257;291;321;351;371;582;669;727;815
21400;Bremur et vaurois;155;180;210;240;260;361;415;451;505
21560;Bressey sur tille;233;265;295;325;345;530;609;662;742
21110;Bretenieres;245;278;308;338;358;556;639;695;778
21490;Bretigny;224;255;285;315;335;510;587;638;714
21390;Brianny;206;236;266;296;316;471;542;589;660
21570;Brion sur ource;149;174;204;234;254;348;400;435;487
21220;Brochon;250;283;313;343;363;567;652;708;793
21490;Brognon;224;255;285;315;335;510;587;638;714
21250;Broin;276;312;342;372;392;623;716;779;872
21220;Broindon;253;287;317;347;367;573;659;716;802
21500;Buffon;159;185;215;245;265;370;425;462;517
21400;Buncey;141;165;195;225;245;331;380;413;463
21290;Bure les templiers;167;193;223;253;273;387;445;484;542
21510;Busseaut;158;184;214;244;264;367;422;459;514
21580;Busserotte montenaille;186;214;244;274;294;428;492;535;599
21580;Bussieres;180;208;238;268;288;415;477;519;581
21360;La bussiere sur ouche;246;279;309;339;359;558;642;698;781
21540;Bussy la pesle;212;242;272;302;322;484;557;605;678
21150;Bussy le grand;172;199;229;259;279;398;457;497;557
21290;Buxerolles;169;196;226;256;276;391;450;489;548
21430;Censerey;216;247;277;307;327;493;567;616;690
21330;Cerilly;136;160;190;220;240;320;368;400;448
21110;Cessey sur tille;238;270;300;330;350;541;622;676;757
21120;Chaignay;218;249;279;309;329;497;572;622;696
21320;Chailly sur armancon;231;263;293;323;343;526;604;657;736
