CP;Commune;Distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16 ;17-31 ;32-54
8300;Lucquy;120;297;312;322;337;594;683;793;892
8440;Lumes;150;235;250;260;275;470;541;644;731
8150;Lépron-les-Vallées;140;297;312;322;337;594;683;793;892
8210;Létanne;150;276;291;301;316;553;635;743;838
8310;Machault;95;297;312;322;337;594;683;793;892
8450;Maisoncelle-et-Villers;170;183;198;208;223;367;422;520;597
8370;Malandry;195;338;353;363;378;676;778;892;999
8400;Manre;90;390;405;415;430;779;896;1015;1133
8460;Maranwez;140;173;188;198;213;346;398;496;570
8260;Marby;150;276;291;301;316;553;635;743;838
8250;Marcq;115;297;312;322;337;594;683;793;892
8370;Margny;205;225;240;250;265;449;517;619;704
8370;Margut;195;410;425;435;450;821;944;1065;1187
8290;Marlemont;140;390;405;415;430;779;896;1015;1133
8390;Marquigny;150;276;291;301;316;553;635;743;838
8400;Mars-sous-Bourcq;105;297;312;322;337;594;683;793;892
8400;Marvaux-Vieux;90;204;219;229;244;408;469;570;651
8110;Matton-et-Clémency;185;173;188;198;213;346;398;496;570
8260;Maubert-Fontaine;160;369;384;394;409;738;849;966;1080
8430;Mazerny;140;318;333;343;358;635;730;842;946
8270;Mesmont;120;276;291;301;316;553;635;743;838
8110;Messincourt;185;235;250;260;275;470;541;644;731
8110;Mogues;195;369;384;394;409;738;849;966;1080
8370;Moiry;195;390;405;415;430;779;896;1015;1133
8430;Mondigny;145;390;405;415;430;779;896;1015;1133
8130;Mont-Laurent;115;287;302;312;327;573;659;768;865
8400;Mont-Saint-Martin;100;225;240;250;265;449;517;619;704
8310;Mont-Saint-Remy;100;194;209;219;234;388;446;545;624
8250;Montcheutin;100;194;209;219;234;388;446;545;624
8090;Montcornet;165;194;209;219;234;388;446;545;624
8090;Montcy-Notre-Dame;155;328;343;353;368;656;754;867;972
8390;Montgon;120;307;322;332;347;614;707;817;919
8800;Monthermé;170;235;250;260;275;470;541;644;731
8400;Monthois;95;338;353;363;378;676;778;892;999
8170;Montigny-sur-Meuse;185;183;198;208;223;367;422;520;597
8430;Montigny-sur-Vence;135;369;384;394;409;738;849;966;1080
8220;Montmeillant;135;266;281;291;306;532;612;718;811
8250;Mouron;100;266;281;291;306;532;612;718;811
8210;Mouzon;180;194;209;219;234;388;446;545;624
8150;Murtin-et-Bogny;150;359;374;384;399;718;825;941;1053
8310;Ménil-Annelles;115;297;312;322;337;594;683;793;892
8310;Ménil-Lépinois;95;225;240;250;265;449;517;619;704
8300;Nanteuil-sur-Aisne;110;183;198;208;223;367;422;520;597
8300;Neuflize;95;214;229;239;254;429;493;595;677
8460;Neufmaison;145;183;198;208;223;367;422;520;597
8700;Neufmanil;165;287;302;312;327;573;659;768;865
8130;Neuville-Day;115;328;343;353;368;656;754;867;972
8380;Neuville-lez-Beaulieu;160;225;240;250;265;449;517;619;704
8090;Neuville-lès-This;150;318;333;343;358;635;730;842;946
8430;Neuvizy;130;297;312;322;337;594;683;793;892
8400;Noirval;115;256;271;281;296;511;588;694;785
8240;Nouart;130;225;240;250;265;449;517;619;704
8160;Nouvion-sur-Meuse;150;256;271;281;296;511;588;694;785
8700;Nouzonville;160;297;312;322;337;594;683;793;892
8270;Novion-Porcien;120;318;333;343;358;635;730;842;946
8300;Novy-Chevrières;115;235;250;260;275;470;541;644;731
8350;Noyers-Pont-Maugis;170;225;240;250;265;449;517;619;704
8240;Oches;130;338;353;363;378;676;778;892;999
8250;Olizy-Primat;100;256;271;281;296;511;588;694;785
8450;Omicourt;165;194;209;219;234;388;446;545;624
8430;Omont;150;328;343;353;368;656;754;867;972
8110;Osnes;185;297;312;322;337;594;683;793;892
8310;Pauvres;105;369;384;394;409;738;849;966;1080
8300;Perthes;100;204;219;229;244;408;469;570;651
8190;Poilcourt-Sydney;95;194;209;219;234;388;446;545;624
8430;Poix-Terron;135;183;198;208;223;367;422;520;597
8140;Pouru-aux-Bois;180;266;281;291;306;532;612;718;811
8140;Pouru-Saint-Remy;175;359;374;384;399;718;825;941;1053
8290;Prez;150;348;363;373;388;697;801;916;1026
8000;Prix-lès-Mézières;150;297;312;322;337;594;683;793;892
8370;Puilly-et-Charbeaux;195;297;312;322;337;594;683;793;892
8270;Puiseux;130;390;405;415;430;779;896;1015;1133
8110;Pure;185;256;271;281;296;511;588;694;785
8400;Quatre-Champs;110;369;384;394;409;738;849;966;1080
8400;Quilly;100;214;229;239;254;429;493;595;677
8430;Raillicourt;135;194;209;219;234;388;446;545;624
8600;Rancennes;210;266;281;291;306;532;612;718;811
8450;Raucourt-et-Flaba;175;421;436;446;461;841;967;1090;1214
8230;Regniowez;170;348;363;373;388;697;801;916;1026
8220;Remaucourt;125;338;353;363;378;676;778;892;999
8450;Remilly-Aillicourt;170;245;260;270;285;491;564;669;758
8150;Remilly-les-Pothées;150;338;353;363;378;676;778;892;999
8220;Renneville;135;297;312;322;337;594;683;793;892
8150;Renwez;165;266;281;291;306;532;612;718;811
8300;Rethel;105;328;343;353;368;656;754;867;972
8500;Revin;175;204;219;229;244;408;469;570;651
8130;Rilly-sur-Aisne;115;348;363;373;388;697;801;916;1026
8150;Rimogne;170;225;240;250;265;449;517;619;704
8220;Rocquigny;135;338;353;363;378;676;778;892;999
8230;Rocroi;160;266;281;291;306;532;612;718;811
8190;Roizy;95;318;333;343;358;635;730;842;946
8150;Rouvroy-sur-Audry;145;183;198;208;223;367;422;520;597
