cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
21310;Charmes;206;366;381;396;416;733;806;929;996
21350;Charny;211;376;391;406;426;751;826;952;1019
21170;Charrey sur saone;262;471;486;501;521;943;1037;1181;1258
21400;Charrey sur seine;119;203;218;233;253;406;447;538;588
21190;Chassagne montrachet;282;509;524;539;559;1018;1119;1271;1352
21150;Chassey;181;319;334;349;369;639;703;817;878
21320;Chateauneuf;227;406;421;436;456;811;892;1024;1094
21320;Chatellenot;232;415;430;445;465;830;913;1046;1118
21400;Chatillon sur seine;130;224;239;254;274;448;492;587;639
21360;Chaudenay la ville;237;424;439;454;474;849;934;1069;1141
21360;Chaudenay le chateau;236;423;438;453;473;845;930;1064;1136
21290;Chaugey;173;304;319;334;354;609;670;781;841
21610;Chaume et courchamp;222;396;411;426;446;793;872;1001;1071
21520;La chaume;150;261;276;291;311;523;575;677;733
21450;Chaume les baigneux;160;280;295;310;330;560;616;722;780
21400;Chaumont le bois;125;214;229;244;264;429;472;565;616
21700;Chaux;265;477;492;507;527;954;1049;1195;1272
21260;Chazeuil;212;378;393;408;428;755;831;956;1024
21320;Chazilly;232;415;430;445;465;830;913;1046;1118
21400;Chemin d aisey;147;256;271;286;306;511;562;664;719
21300;Chenove;224;400;415;430;450;800;880;1010;1080
21310;Cheuge;233;417;432;447;467;834;917;1051;1122
21540;Chevannay;200;355;370;385;405;710;781;902;968
21220;Chevannes;170;299;314;329;349;598;657;767;827
21200;Chevigny en valiere;283;511;526;541;561;1021;1123;1276;1357
21800;Chevigny st sauveur;235;421;436;451;471;841;925;1060;1132
21820;Chivres;285;514;529;544;564;1029;1132;1285;1366
21200;Chorey;277;499;514;529;549;999;1099;1249;1328
21340;Cirey les nolay;265;477;492;507;527;954;1049;1195;1272
21270;Cirey les pontailler;242;434;449;464;484;868;954;1091;1164
21320;Civry en montagne;230;411;426;441;461;823;905;1037;1108
21390;Clamerey;206;366;381;396;416;733;806;929;996
21220;Clemencey;259;466;481;496;516;931;1024;1168;1244
21490;Clenay;221;394;409;424;444;789;868;997;1066
21270;Clery;255;458;473;488;508;916;1008;1150;1225
21230;Clomot;234;419;434;449;469;838;921;1055;1127
21220;Collonges les bevy;271;488;503;518;538;976;1074;1222;1300
21110;Collonges les premieres;256;460;475;490;510;920;1012;1154;1230
21360;Colombier;241;432;447;462;482;864;950;1087;1160
21200;Combertault;282;509;524;539;559;1018;1119;1271;1352
21700;Comblanchien;266;479;494;509;529;958;1053;1199;1277
21320;Commarin;233;417;432;447;467;834;917;1051;1122
21250;Corberon;277;499;514;529;549;999;1099;1249;1328
21190;Corcelles les arts;288;520;535;550;570;1040;1144;1298;1380
21910;Corcelles les citeaux;253;454;469;484;504;909;1000;1141;1216
21160;Corcelles les monts;256;460;475;490;510;920;1012;1154;1230
21250;Corgengoux;280;505;520;535;555;1010;1111;1262;1343
21700;Corgoloin;268;483;498;513;533;965;1062;1208;1286
21340;Cormot le grand;266;479;494;509;529;958;1053;1199;1277
21190;Corpeau;279;503;518;533;553;1006;1107;1258;1338
21150;Corpoyer la chapelle;172;303;318;333;353;605;666;776;836
21460;Corrombles;180;318;333;348;368;635;699;812;874
21460;Corsaint;170;299;314;329;349;598;657;767;827
21160;Couchey;247;443;458;473;493;886;975;1114;1188
21400;Coulmier le sec;144;250;265;280;300;500;550;650;705
21520;Courban;143;248;263;278;298;496;546;646;700
21460;Courcelles fremoy;190;336;351;366;386;673;740;857;921
21500;Courcelles les montbard;170;299;314;329;349;598;657;767;827
21140;Courcelles les semur;196;348;363;378;398;695;765;884;949
21610;Courchamp;222;396;411;426;446;793;872;1001;1071
21580;Courlon;186;329;344;359;379;658;723;839;902
21120;Courtivron;199;353;368;383;403;706;777;898;963
21560;Couternon;229;409;424;439;459;819;901;1033;1103
21320;Creancey;225;402;417;432;452;804;884;1015;1085
21120;Crecey sur tille;199;353;368;383;403;706;777;898;963
21500;Crepand;166;291;306;321;341;583;641;749;808
21800;Crimolois;238;426;441;456;476;853;938;1073;1146
21360;Crugey;236;423;438;453;473;845;930;1064;1136
21310;Cuiserey;228;408;423;438;458;815;897;1028;1099
21230;Culetre;238;426;441;456;476;853;938;1073;1146
21220;Curley;260;468;483;498;518;935;1029;1172;1249
21380;Curtil st seine;206;366;381;396;416;733;806;929;996
21220;Curtil vergy;269;484;499;514;534;969;1066;1213;1291
21580;Cussey les forges;191;338;353;368;388;676;744;862;925
21360;Cussy la colonne;252;453;468;483;503;905;996;1136;1211
21230;Cussy le chatel;236;423;438;453;473;845;930;1064;1136
21121;Daix;243;436;451;466;486;871;958;1096;1169
21350;Dampierre en montagne;192;340;355;370;390;680;748;866;930
21310;Dampierre et flee;227;406;421;436;456;811;892;1024;1094
21150;Darcey;171;301;316;331;351;601;661;772;832
21121;Darois;250;449;464;479;499;898;987;1127;1202
21220;Detain et bruant;252;453;468;483;503;905;996;1136;1211
21430;Diancey;218;389;404;419;439;778;855;983;1052
21120;Dienay;216;385;400;415;435;770;847;974;1043
21000;Dijon;237;424;439;454;474;849;934;1069;1141
