name;zipcode;type
Saint-Christophe-à-Berry;2290;commune
Saint-Clément;2360;commune
Sainte-Croix;2820;commune
Sainte-Geneviève;2340;commune
Sainte-Preuve;2350;commune
Saint-Erme-Outre-et-Ramecourt;2820;commune
Saint-Eugène;2330;commune
Saint-Gengoulph;2810;commune
Saint-Gobain;2410;commune
Saint-Gobert;2140;commune
Saint-Mard;2220;commune
Saint-Martin-Rivière;2110;commune
Saint-Michel;2830;commune
Saint-Nicolas-aux-Bois;2410;commune
Saint-Paul-aux-Bois;2300;commune
Saint-Pierre-Aigle;2600;commune
Saint-Pierre-lès-Franqueville;2140;commune
Saint-Pierremont;2250;commune
Saint-Quentin;2100;commune
Saint-Rémy-Blanzy;2210;commune
Saint-Simon;2640;commune
Saint-Thibaut;2220;commune
Saint-Thomas;2820;commune
Samoussy;2840;commune
Sancy-les-Cheminots;2880;commune
Saponay;2130;commune
Saulchery;2310;commune
Savy;2590;commune
Seboncourt;2110;commune
Selens;2300;commune
Septmonts;2200;commune
Septvaux;2410;commune
Sequehart;2420;commune
Serain;2110;commune
Seraucourt-le-Grand;2790;commune
Serches;2220;commune
Sergy;2130;commune
Seringes-et-Nesles;2130;commune
Sermoise;2220;commune
Servais;2700;commune
Serval;2160;commune
Séry-lès-Mézières;2240;commune
Silly-la-Poterie;2460;commune
Sinceny;2300;commune
Sissonne;2150;commune
Sissy;2240;commune
Soissons;2200;commune
Soize;2340;commune
Sommelans;2470;commune
Sommeron;2260;commune
Sommette-Eaucourt;2480;commune
Sons-et-Ronchères;2270;commune
Sorbais;2580;commune
Soucy;2600;commune
Soupir;2160;commune
Surfontaine;2240;commune
Suzy;2320;commune
Taillefontaine;2600;commune
Tannières;2220;commune
Tartiers;2290;commune
Tavaux-et-Pontséricourt;2250;commune
Tergnier;2700;commune
Terny-Sorny;2880;commune
Thenailles;2140;commune
Thenelles;2390;commune
Thiernu;2250;commune
Torcy-en-Valois;2810;commune
Toulis-et-Attencourt;2250;commune
Travecy;2800;commune
Trefcon;2490;commune
Trélou-sur-Marne;2850;commune
Troësnes;2460;commune
Trosly-Loire;2300;commune
Trucy;2860;commune
Tugny-et-Pont;2640;commune
Tupigny;2120;commune
Ugny-le-Gay;2300;commune
Urcel;2000;commune
Urvillers;2690;commune
Vadencourt;2120;commune
Vailly-sur-Aisne;2370;commune
Variscourt;2190;commune
Vassens;2290;commune
Vasseny;2220;commune
Vassogne;2160;commune
Vaucelles-et-Beffecourt;2000;commune
Vaudesson;2320;commune
Vauxaillon;2320;commune
Vaux-Andigny;2110;commune
Vauxbuin;2200;commune
Vauxcéré;2160;commune
Vaux-en-Vermandois;2590;commune
Vauxrezis;2200;commune
Vauxtin;2220;commune
Vendelles;2490;commune
Vendeuil;2800;commune
Vendhuile;2420;commune
Vendières;2540;commune
Vendresse-Beaulne;2160;commune
Vénérolles;2510;commune
Venizel;2200;commune
Verdilly;2400;commune
Vermand;2490;commune
Verneuil-sous-Coucy;2380;commune
Verneuil-sur-Serre;2000;commune
Versigny;2800;commune
Vervins;2140;commune
Vesles-et-Caumont;2350;commune
Veslud;2840;commune
Veuilly-la-Poterie;2810;commune
Vézaponin;2290;commune
Vézilly;2130;commune
Vichel-Nanteuil;2210;commune
Vic-sur-Aisne;2290;commune
Viel-Arcy;2160;commune
Viels-Maisons;2540;commune
Vierzy;2210;commune
Viffort;2540;commune
Vigneux-Hocquet;2340;commune
Villemontoire;2210;commune
Villeneuve-Saint-Germain;2200;commune
Villeneuve-sur-Fère;2130;commune
Villequier-Aumont;2300;commune
Villeret;2420;commune
Villers-Agron-Aiguizy;2130;commune
Villers-Cotterêts;2600;commune
Villers-en-Prayères;2160;commune
Villers-Hélon;2600;commune
Villers-le-Sec;2240;commune
Villers-lès-Guise;2120;commune
Villers-Saint-Christophe;2590;commune
Villers-sur-Fère;2130;commune
Ville-Savoye;2220;commune
Villiers-Saint-Denis;2310;commune
Vincy-Reuil-et-Magny;2340;commune
Viry-Noureuil;2300;commune
Vivaise;2870;commune
Vivières;2600;commune
Voharies;2140;commune
Vorges;2860;commune
Voulpaix;2140;commune
Voyenne;2250;commune
Vregny;2880;commune
Vuillery;2880;commune
Wassigny;2630;commune
Watigny;2830;commune
Wiège-Faty;2120;commune
Wimy;2500;commune
Wissignicourt;2320;commune
Abancourt;59268;commune
Abscon;59215;commune
Aibes;59149;commune
Aix;59310;commune
Allennes-les-Marais;59251;commune
Amfroipret;59144;commune
Anhiers;59194;commune
Aniche;59580;commune
Anneux;59400;commune
Annœullin;59112;commune
Anor;59186;commune
Anstaing;59152;commune
Anzin;59410;commune
Arleux;59151;commune
Armbouts-Cappel;59380;commune
Armentières;59280;commune
Arnèke;59285;commune
Artres;59269;commune
Assevent;59600;commune
Attiches;59551;commune
Aubencheul-au-Bac;59265;commune
Auberchicourt;59165;commune
Aubers;59249;commune
Aubigny-au-Bac;59265;commune
Aubry-du-Hainaut;59494;commune
Auby;59950;commune
Auchy-lez-Orchies;59310;commune
Audignies;59570;commune
Aulnoye-Aymeries;59620;commune
Aulnoy-lez-Valenciennes;59300;commune
Avelin;59710;commune
Avesnelles;59440;commune
Avesnes-les-Aubert;59129;commune
Avesnes-le-Sec;59296;commune
Avesnes-sur-Helpe;59440;commune
Awoingt;59400;commune
Bachant;59138;commune
Bachy;59830;commune
Bailleul;59270;commune
Baisieux;59780;commune
Baives;59132;commune
Bambecque;59470;commune
Banteux;59266;commune
Bantigny;59554;commune
Bantouzelle;59266;commune
Bas-Lieu;59440;commune
La Bassée;59480;commune
Bauvin;59221;commune
Bavay;59570;commune
Bavinchove;59670;commune
Bazuel;59360;commune
Beaucamps-Ligny;59134;commune
Beaudignies;59530;commune
Beaufort;59330;commune
Beaumont-en-Cambrésis;59540;commune
Beaurain;59730;commune
Beaurepaire-sur-Sambre;59550;commune
Beaurieux;59740;commune
Beauvois-en-Cambrésis;59157;commune
Bellaing;59135;commune
Bellignies;59570;commune
Bérelles;59740;commune
Bergues;59380;commune
Berlaimont;59145;commune
Bermerain;59213;commune
Bermeries;59570;commune
Bersée;59235;commune
Bersillies;59600;commune
Berthen;59270;commune
Bertry;59980;commune
Béthencourt;59540;commune
Bettignies;59600;commune
Bettrechies;59570;commune
Beugnies;59216;commune
Beuvrages;59192;commune
Beuvry-la-Forêt;59310;commune
Bévillers;59217;commune
Bierne;59380;commune
Bissezeele;59380;commune
Blaringhem;59173;commune
Blécourt;59268;commune
Boeschepe;59299;commune
Boëseghem;59189;commune
Bois-Grenier;59280;commune
Bollezeele;59470;commune
Bondues;59910;commune
Borre;59190;commune
Bouchain;59111;commune
Boulogne-sur-Helpe;59440;commune
Bourbourg;59630;commune
Bourghelles;59830;commune
Bousbecque;59166;commune
Bousies;59222;commune
Bousignies;59178;commune
Bousignies-sur-Roc;59149;commune
Boussières-en-Cambrésis;59217;commune
Boussières-sur-Sambre;59330;commune
Boussois;59168;commune
Bouvignies;59870;commune
Bouvines;59830;commune
Bray-Dunes;59123;commune
Briastre;59730;commune
Brillon;59178;commune
Brouckerque;59630;commune
Broxeele;59470;commune
Bruay-sur-l'Escaut;59860;commune
Bruille-lez-Marchiennes;59490;commune
Bruille-Saint-Amand;59199;commune
Brunémont;59151;commune
Bry;59144;commune
Bugnicourt;59151;commune
Busigny;59137;commune
Buysscheure;59285;commune
Caëstre;59190;commune
