cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
8130;Givry;120;210;220;230;240;420;462;584;666
8200;Glaire;165;294;304;314;324;589;648;787;885
8190;Gomont;110;191;201;211;221;383;421;539;617
8270;Grandchamp;125;219;229;239;249;439;483;607;690
8250;Grandham;105;182;192;202;212;364;400;517;593
8250;Grandpré;110;191;201;211;221;383;421;539;617
8400;Grivy-Loisy;105;182;192;202;212;364;400;517;593
8430;Gruyères;140;248;258;268;278;495;545;674;764
8430;Guignicourt-sur-Vence;140;248;258;268;278;495;545;674;764
8130;Guincourt;120;210;220;230;240;420;462;584;666
8230;Gué-d'Hossus;165;294;304;314;324;589;648;787;885
8430;Hagnicourt;135;238;248;258;268;476;524;652;739
8090;Ham-les-Moines;160;285;295;305;315;570;627;764;861
8600;Ham-sur-Meuse;205;369;379;389;399;739;813;967;1080
8290;Hannappes;155;276;286;296;306;551;606;742;837
8160;Hannogne-Saint-Martin;155;276;286;296;306;551;606;742;837
8220;Hannogne-Saint-Rémy;130;229;239;249;259;458;503;629;715
8450;Haraucourt;175;313;323;333;343;626;689;832;934
8150;Harcy;165;294;304;314;324;589;648;787;885
8170;Hargnies;185;332;342;352;362;664;730;877;983
8240;Harricourt;120;210;220;230;240;420;462;584;666
8090;Haudrecy;160;285;295;305;315;570;627;764;861
8800;Haulmé;170;304;314;324;334;608;668;809;910
8300;Hauteville;120;210;220;230;240;420;462;584;666
8310;Hauviné;80;135;145;155;165;270;297;404;471
8170;Haybes;180;323;333;343;353;645;710;854;959
8370;Herbeuval;200;360;370;380;390;720;792;944;1056
8360;Herpy-l'Arlésienne;110;191;201;211;221;383;421;539;617
8320;Hierges;200;360;370;380;390;720;792;944;1056
8190;Houdilcourt;100;173;183;193;203;345;380;494;569
8090;Houldizy;160;285;295;305;315;570;627;764;861
8200;Illy;180;323;333;343;353;645;710;854;959
8240;Imécourt;120;210;220;230;240;420;462;584;666
8300;Inaumont;115;201;211;221;231;401;441;562;642
8440;Issancourt-et-Rumel;160;285;295;305;315;570;627;764;861
8430;Jandun;135;238;248;258;268;476;524;652;739
8700;Joigny-sur-Meuse;165;294;304;314;324;589;648;787;885
8130;Jonval;145;257;267;277;287;514;565;697;788
8310;Juniville;105;182;192;202;212;364;400;517;593
8270;Justine-Herbigny;120;210;220;230;240;420;462;584;666
8300;L'Écaille;100;173;183;193;203;345;380;494;569
8150;L'Échelle;145;257;267;277;287;514;565;697;788
8240;La Berlière;135;238;248;258;268;476;524;652;739
8450;La Besace;145;257;267;277;287;514;565;697;788
8200;La Chapelle;175;313;323;333;343;626;689;832;934
8400;La Croix-aux-Bois;110;191;201;211;221;383;421;539;617
8370;La Ferté-sur-Chiers;195;351;361;371;381;701;771;922;1032
8000;La Francheville;145;257;267;277;287;514;565;697;788
8290;La Férée;150;266;276;286;296;533;586;719;812
8700;La Grandville;160;285;295;305;315;570;627;764;861
8430;La Horgne;140;248;258;268;278;495;545;674;764
8140;La Moncelle;170;304;314;324;334;608;668;809;910
8380;La Neuville-aux-Joûtes;165;294;304;314;324;589;648;787;885
8310;La Neuville-en-Tourne-à-Fuy;90;154;164;174;184;308;338;449;520
8270;La Neuville-lès-Wasigny;125;219;229;239;249;439;483;607;690
8450;La Neuville-à-Maire;155;276;286;296;306;551;606;742;837
8220;La Romagne;135;238;248;258;268;476;524;652;739
8130;La Sabotterie;120;210;220;230;240;420;462;584;666
8800;Laifour;175;313;323;333;343;626;689;832;934
8460;Lalobbe;130;229;239;249;259;458;503;629;715
8130;Lametz;120;210;220;230;240;420;462;584;666
8240;Landres-et-Saint-Georges;120;210;220;230;240;420;462;584;666
8600;Landrichamps;215;388;398;408;418;776;854;1012;1129
8250;Lançon;105;182;192;202;212;364;400;517;593
8430;Launois-sur-Vence;130;229;239;249;259;458;503;629;715
8150;Laval-Morency;150;266;276;286;296;533;586;719;812
8390;Le Chesne;120;210;220;230;240;420;462;584;666
8300;Le Châtelet-sur-Retourne;95;163;173;183;193;326;359;472;544
8150;Le Châtelet-sur-Sormonne;150;266;276;286;296;533;586;719;812
8290;Le Fréty;140;248;258;268;278;495;545;674;764
8390;Le Mont-Dieu;130;229;239;249;259;458;503;629;715
