cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
02270;Crécy-sur-Serre;144;169;199;229;249;337;388;421;472
02870;Crépy;147;172;202;232;252;344;395;429;481
02650;Crézancy;78;97;127;157;177;194;223;243;272
02110;Croix-Fonsomme;183;211;241;271;291;422;485;527;590
02310;Crouttes-sur-Marne;101;122;152;182;202;244;280;305;341
02880;Crouy;125;148;178;208;228;296;340;370;414
02120;Crupilly;175;202;232;262;282;404;465;505;566
02880;Cuffies;129;152;182;212;232;305;350;381;426
02480;Cugny;184;212;242;272;292;424;487;530;593
02350;Cuirieux;145;170;200;230;250;339;390;424;475
02220;Cuiry-Housse;118;140;170;200;220;281;323;351;393
02160;Cuiry-lès-Chaudardes;111;133;163;193;213;266;305;332;372
02360;Cuiry-lès-Iviers;142;166;196;226;246;333;383;416;466
02160;Cuissy-et-Geny;119;141;171;201;221;283;325;354;396
02200;Cuisy-en-Almont;137;161;191;221;241;322;370;402;451
02600;Cutry;143;167;197;227;247;335;385;419;469
02220;Cys-la-Commune;127;150;180;210;230;300;345;375;420
02140;Dagny-Lambercy;147;172;202;232;252;344;395;429;481
02680;Dallon;171;198;228;258;278;396;455;494;554
02470;Dammard;145;170;200;230;250;339;390;424;475
02600;Dampleux;153;178;208;238;258;357;410;446;499
02800;Danizy;151;176;206;236;256;352;405;440;493
02270;Dercy;142;166;196;226;246;333;383;416;466
02700;Deuillet;157;183;213;243;263;365;420;456;511
02220;Dhuizel;108;130;160;190;210;259;298;324;363
02340;Dizy-le-Gros;124;147;177;207;227;294;338;367;411
02360;Dohis;147;172;202;232;252;344;395;429;481
02360;Dolignon;140;164;194;224;244;328;378;410;460
02600;Dommiers;159;185;215;245;265;370;425;462;517
02310;Domptin;141;165;195;225;245;331;380;413;463
02450;Dorengt;178;205;235;265;285;411;472;513;575
02590;Douchy;181;209;239;269;289;417;480;521;584
02130;Dravegny;113;135;165;195;215;270;310;337;378
02210;Droizy;149;174;204;234;254;348;400;435;487
02480;Dury;186;214;244;274;294;428;492;535;599
02350;Ébouleau;148;173;203;233;253;346;398;432;484
02500;Effry;175;202;232;262;282;404;465;505;566
02260;Englancourt;174;201;231;261;281;402;462;503;563
02290;Épagny;145;170;200;230;250;339;390;424;475
02500;Éparcy;162;188;218;248;268;376;432;470;526
02400;Épaux-Bézu;105;126;156;186;206;253;290;316;354
02400;Épieds;127;150;180;210;230;300;345;375;420
02840;Eppes;127;150;180;210;230;300;345;375;420
02250;Erlon;144;169;199;229;249;337;388;421;472
02260;Erloy;176;203;233;263;283;406;467;508;569
02170;Esquéhéries;186;214;244;274;294;428;492;535;599
02690;Essigny-le-Grand;186;214;244;274;294;428;492;535;599
02100;Essigny-le-Petit;178;205;235;265;285;411;472;513;575
02570;Essises;85;105;135;165;185;209;241;261;293
02400;Essômes-sur-Marne;95;115;145;175;195;231;265;289;323
02420;Estrées;189;217;247;277;297;435;500;543;608
02400;Étampes-sur-Marne;92;112;142;172;192;224;258;280;314
02110;Étaves-et-Bocquiaux;177;204;234;264;284;409;470;511;572
02000;Étouvelles;141;165;195;225;245;331;380;413;463
02580;Étréaupont;168;195;225;255;275;389;447;486;545
02590;Étreillers;180;208;238;268;288;415;477;519;581
02400;Étrépilly;162;188;218;248;268;376;432;470;526
02510;Étreux;178;205;235;265;285;411;472;513;575
02190;Évergnicourt;102;123;153;183;203;246;283;308;344
02320;Faucoucourt;151;176;206;236;256;352;405;440;493
02600;Faverolles;237;269;299;329;349;539;619;673;754
02100;Fayet;174;201;231;261;281;402;462;503;563
02130;Fère-en-Tardenois;118;140;170;200;220;281;323;351;393
02450;Fesmy-le-Sart;185;213;243;273;293;426;490;532;596
02840;Festieux;118;140;170;200;220;281;323;351;393
02110;Fieulaine;180;208;238;268;288;415;477;519;581
02000;Filain;130;153;183;213;233;307;353;383;429
02120;Flavigny-le-Grand-et-Beaurain;171;198;228;258;278;396;455;494;554
02520;Flavy-le-Martel;181;209;239;269;289;417;480;521;584
02600;Fleury;153;178;208;238;258;357;410;446;499
02590;Fluquières;178;205;235;265;285;411;472;513;575
02670;Folembray;173;200;230;260;280;400;460;500;560
02110;Fonsomme;181;209;239;269;289;417;480;521;584
02680;Fontaine-lès-Clercs;170;197;227;257;277;393;452;492;551
02140;Fontaine-lès-Vervins;163;189;219;249;269;378;435;473;529
02110;Fontaine-Notre-Dame;181;209;239;269;289;417;480;521;584
02110;Fontaine-Uterte;180;208;238;268;288;415;477;519;581
02170;Fontenelle;184;212;242;272;292;424;487;530;593
02540;Fontenelle-en-Brie;78;97;127;157;177;194;223;243;272
02290;Fontenoy;136;160;190;220;240;320;368;400;448
02590;Foreste;184;212;242;272;292;424;487;530;593
02650;Fossoy;80;99;129;159;179;198;228;248;278
02870;Fourdrain;159;185;215;245;265;370;425;462;517
02760;Francilly-Selency;174;201;231;261;281;402;462;503;563
02140;Franqueville;164;190;220;250;270;380;437;475;532
02380;Fresnes;136;160;190;220;240;320;368;400;448
02130;Fresnes-en-Tardenois;114;136;166;196;216;272;313;340;381
02230;Fresnoy-le-Grand;186;214;244;274;294;428;492;535;599
02800;Fressancourt;156;182;212;242;262;363;417;454;508
02700;Frières-Faillouël;170;197;227;257;277;393;452;492;551
02260;Froidestrées;172;199;229;259;279;398;457;497;557
02270;Froidmont-Cohartille;137;161;191;221;241;322;370;402;451
02810;Gandelu;108;130;160;190;210;259;298;324;363
02430;Gauchy;166;192;222;252;272;385;442;481;539
02140;Gercy;157;183;213;243;263;365;420;456;511
02260;Gergny;170;197;227;257;277;393;452;492;551
02590;Germaine;181;209;239;269;289;417;480;521;584
02160;Gernicourt;98;119;149;179;199;237;273;297;332
02440;Gibercourt;173;200;230;260;280;400;460;500;560
02350;Gizy;140;164;194;224;244;328;378;410;460
02400;Gland;131;154;184;214;234;309;355;386;432
02160;Glennes;100;121;151;181;201;242;278;302;338
02820;Goudelancourt-lès-Berrieux;113;135;165;195;215;270;310;337;378
02350;Goudelancourt-lès-Pierrepont;147;172;202;232;252;344;395;429;481
02130;Goussancourt;104;125;155;185;205;250;288;313;350
02420;Gouy;192;221;251;281;301;441;507;551;617
02350;Grandlup-et-Fay;142;166;196;226;246;333;383;416;466
02360;Grandrieux;141;165;195;225;245;331;380;413;463
02210;Grand-Rozoy;129;152;182;212;232;305;350;381;426
02120;Grand-Verly;175;202;232;262;282;404;465;505;566
02100;Gricourt;178;205;235;265;285;411;472;513;575
02210;Grisolles;131;154;184;214;234;309;355;386;432
02140;Gronard;157;183;213;243;263;365;420;456;511
02110;Grougis;181;209;239;269;289;417;480;521;584
02680;Grugies;166;192;222;252;272;385;442;481;539
02190;Guignicourt;101;122;152;182;202;244;280;305;341
02120;Guise;167;193;223;253;273;387;445;484;542
02300;Guivry;177;204;234;264;284;409;470;511;572
02300;Guny;142;166;196;226;246;333;383;416;466
02160;Guyencourt;98;119;149;179;199;237;273;297;332
02510;Hannapes;177;204;234;264;284;409;470;511;572
02480;Happencourt;174;201;231;261;281;402;462;503;563
02600;Haramont;152;177;207;237;257;354;407;443;496
02140;Harcigny;145;170;200;230;250;339;390;424;475
02420;Hargicourt;190;218;248;278;298;437;502;546;611
02100;Harly;169;196;226;256;276;391;450;489;548
02210;Hartennes-et-Taux;146;171;201;231;251;341;393;427;478
02140;Hary;145;170;200;230;250;339;390;424;475
02810;Hautevesnes;142;166;196;226;246;333;383;416;466
02120;Hauteville;171;198;228;258;278;396;455;494;554
02140;Haution;169;196;226;256;276;391;450;489;548
02440;Hinacourt;175;202;232;262;282;404;465;505;566
02500;Hirson;166;192;222;252;272;385;442;481;539
02760;Holnon;174;201;231;261;281;402;462;503;563
02720;Homblières;171;198;228;258;278;396;455;494;554
02140;Houry;154;179;209;239;259;359;412;448;502
02250;Housset;154;179;209;239;259;359;412;448;502
02510;Iron;175;202;232;262;282;404;465;505;566
02240;Itancourt;170;197;227;257;277;393;452;492;551
02360;Iviers;147;172;202;232;252;344;395;429;481
02850;Jaulgonne;85;105;135;165;185;209;241;261;293
02490;Jeancourt;187;215;245;275;295;430;495;538;602
02140;Jeantes;155;180;210;240;260;361;415;451;505
02420;Joncourt;189;217;247;277;297;435;500;543;608
02220;Jouaignes;112;134;164;194;214;268;308;335;375
02380;Jumencourt;148;173;203;233;253;346;398;432;484
02160;Jumigny;118;140;170;200;220;281;323;351;393
02480;Jussy;178;205;235;265;285;411;472;513;575
02880;Juvigny;127;150;180;210;230;300;345;375;420
02190;Juvincourt-et-Damary;106;127;157;187;207;255;293;318;357
02140;La Bouteille;167;193;223;253;273;387;445;484;542
02260;La Capelle;176;203;233;263;283;406;467;508;569
02540;La Celle-sous-Montmirail;74;93;123;153;173;185;213;232;259
02330;La Chapelle-Monthodon;70;88;118;148;168;177;203;221;247
02570;La Chapelle-sur-Chézy;87;107;137;167;187;214;246;267;299
02210;La Croix-sur-Ourcq;136;160;190;220;240;320;368;400;448
02800;La Fère;153;178;208;238;258;357;410;446;499
02270;La Ferté-Chevresis;156;182;212;242;262;363;417;454;508
02460;La Ferté-Milon;151;176;206;236;256;352;405;440;493
02260;La Flamengrie;179;206;236;266;286;413;475;516;578
02500;La Hérie;163;189;219;249;269;378;435;473;529
02190;La Malmaison;114;136;166;196;216;272;313;340;381
02250;La Neuville-Bosmont;150;175;205;235;255;350;403;438;490
02300;La Neuville-en-Beine;175;202;232;262;282;404;465;505;566
02250;La Neuville-Housset;153;178;208;238;258;357;410;446;499
02450;La Neuville-lès-Dorengt;178;205;235;265;285;411;472;513;575
02150;La Selve;121;144;174;204;224;287;330;359;402
02140;La Vallée-au-Blé;167;193;223;253;273;387;445;484;542
02110;La Vallée-Mulâtre;185;213;243;273;293;426;490;532;596
