cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
54550;Maizières;159;278;293;308;328;556;612;718;775
54560;Malavillers;178;314;329;344;364;628;690;803;864
54670;Malleloy;177;312;327;342;362;624;686;799;860
54220;Malzéville;178;314;329;344;364;628;690;803;864
54470;Mamey;158;276;291;306;326;553;608;713;771
54150;Mance;177;312;327;342;362;624;686;799;860
54790;Mancieulles;177;312;327;342;362;624;686;799;860
54470;Mandres-aux-Quatre-Tours;143;248;263;278;298;496;546;646;700
54290;Mangonville;196;348;363;378;398;695;765;884;949
54210;Manoncourt-en-Vermois;183;323;338;353;373;646;711;826;888
54385;Manoncourt-en-Woëvre;162;284;299;314;334;568;624;731;789
54385;Manonville;151;263;278;293;313;526;579;682;738
54300;Manonviller;211;376;391;406;426;751;826;952;1019
54300;Marainviller;211;376;391;406;426;751;826;952;1019
54820;Marbache;171;301;316;331;351;601;661;772;832
54230;Maron;161;282;297;312;332;564;620;727;785
54800;Mars-la-Tour;165;289;304;319;339;579;637;745;803
54330;Marthemont;171;301;316;331;351;601;661;772;832
54380;Martincourt;201;357;372;387;407;714;785;907;972
54830;Mattexey;213;379;394;409;429;759;835;961;1028
54320;Maxéville;167;293;308;323;343;586;645;754;813
54280;Mazerulles;192;340;355;370;390;680;748;866;930
54360;Méhoncourt;199;353;368;383;403;706;777;898;963
54200;Ménil-la-Tour;159;278;293;308;328;556;612;718;775
54960;Mercy-le-Bas;180;318;333;348;368;635;699;812;874
54560;Mercy-le-Haut;178;314;329;344;364;628;690;803;864
54850;Méréville;177;312;327;342;362;624;686;799;860
54120;Merviller;224;400;415;430;450;800;880;1010;1080
54850;Messein;177;312;327;342;362;624;686;799;860
57000;Metz;197;349;364;379;399;699;769;889;953
54135;Mexy;196;348;363;378;398;695;765;884;949
54540;Mignéville;220;393;408;423;443;785;864;992;1061
54670;Millery;182;321;336;351;371;643;707;821;883
54385;Minorville;152;265;280;295;315;530;583;686;743
54580;Moineville;169;297;312;327;347;594;653;763;822
54760;Moivrons;191;338;353;368;388;676;744;862;925
54300;Moncel-lès-Lunéville;201;357;372;387;407;714;785;907;972
54280;Moncel-sur-Seille;195;346;361;376;396;691;760;880;944
54700;Montauville;160;280;295;310;330;560;616;722;780
54111;Mont-Bonvillers;171;301;316;331;351;601;661;772;832
54760;Montenoy;183;323;338;353;373;646;711;826;888
54540;Montigny;223;398;413;428;448;796;876;1006;1075
54870;Montigny-sur-Chiers;180;318;333;348;368;635;699;812;874
54170;Mont-l'Étroit;155;271;286;301;321;541;595;700;757
54113;Mont-le-Vignoble;149;259;274;289;309;519;571;673;728
54450;Montreux;224;400;415;430;450;800;880;1010;1080
54350;Mont-Saint-Martin;191;338;353;368;388;676;744;862;925
54360;Mont-sur-Meurthe;201;357;372;387;407;714;785;907;972
54920;Morfontaine;183;323;338;353;373;646;711;826;888
54830;Moriviller;209;372;387;402;422;744;818;943;1010
54700;Morville-sur-Seille;195;346;361;376;396;691;760;880;944
54370;Mouacourt;214;381;396;411;431;763;839;965;1033
54800;Mouaville;165;289;304;319;339;579;637;745;803
54700;Mousson;170;299;314;329;349;598;657;767;827
54660;Moutiers;173;304;319;334;354;609;670;781;841
54113;Moutrot;150;261;276;291;311;523;575;677;733
54118;Moyen;216;385;400;415;435;770;847;974;1043
54490;Murville;175;308;323;338;358;616;678;790;850
54000;Nancy;175;308;323;338;358;616;678;790;850
54540;Neufmaisons;233;417;432;447;467;834;917;1051;1122
54230;Neuves-Maisons;166;291;306;321;341;583;641;749;808
54540;Neuviller-lès-Badonviller;229;409;424;439;459;819;901;1033;1103
54290;Neuviller-sur-Moselle;191;338;353;368;388;676;744;862;925
54610;Nomeny;199;353;368;383;403;706;777;898;963
54450;Nonhigny;230;411;426;441;461;823;905;1037;1108
54150;Norroy-le-Sec;173;304;319;334;354;609;670;781;841
54700;Norroy-lès-Pont-à-Mousson;166;291;306;321;341;583;641;749;808
54385;Noviant-aux-Prés;149;259;274;289;309;519;571;673;728
54170;Ochey;155;271;286;301;321;541;595;700;757
54450;Ogéviller;216;385;400;415;435;770;847;974;1043
54330;Ognéville;178;314;329;344;364;628;690;803;864
54800;Olley;158;276;291;306;326;553;608;713;771
54330;Omelmont;179;316;331;346;366;631;694;808;869
54890;Onville;175;308;323;338;358;616;678;790;850
54740;Ormes-et-Ville;189;334;349;364;384;669;736;853;916
54260;Othe;177;312;327;342;362;624;686;799;860
54150;Ozerailles;170;299;314;329;349;598;657;767;827
54200;Pagney-derrière-Barine;145;252;267;282;302;504;554;655;710
54530;Pagny-sur-Moselle;171;301;316;331;351;601;661;772;832
54470;Pannes;195;346;361;376;396;691;760;880;944
54330;Parey-Saint-Césaire;178;314;329;344;364;628;690;803;864
54370;Parroy;211;376;391;406;426;751;826;952;1019
54480;Parux;236;423;438;453;473;845;930;1064;1136
54260;Petit-Failly;177;312;327;342;362;624;686;799;860
54480;Petitmont;237;424;439;454;474;849;934;1069;1141
54120;Pettonville;221;394;409;424;444;789;868;997;1066
54540;Pexonne;230;411;426;441;461;823;905;1037;1108
54610;Phlin;204;363;378;393;413;725;798;920;986
54490;Piennes;170;299;314;329;349;598;657;767;827
54200;Pierre-la-Treiche;150;261;276;291;311;523;575;677;733
54540;Pierre-Percée;237;424;439;454;474;849;934;1069;1141
54620;Pierrepont;178;314;329;344;364;628;690;803;864
54160;Pierreville;178;314;329;344;364;628;690;803;864
54340;Pompey;174;306;321;336;356;613;674;785;846
54700;Pont-à-Mousson;163;286;301;316;336;571;628;736;794
54550;Pont-Saint-Vincent;167;293;308;323;343;586;645;754;813
54700;Port-sur-Seille;194;344;359;374;394;688;756;875;939
54116;Praye;185;327;342;357;377;654;719;835;897
54530;Prény;170;299;314;329;349;598;657;767;827
54490;Preutin-Higny;179;316;331;346;366;631;694;808;869
54160;Pulligny;179;316;331;346;366;631;694;808;869
54115;Pulney;181;319;334;349;369;639;703;817;878
54425;Pulnoy;182;321;336;351;371;643;707;821;883
54800;Puxe;160;280;295;310;330;560;616;722;780
54800;Puxieux;167;293;308;323;343;586;645;754;813
54330;Quevilloncourt;179;316;331;346;366;631;694;808;869
54540;Raon-lès-Leau;250;449;464;479;499;898;987;1127;1202
54610;Raucourt;205;364;379;394;414;729;802;925;991
54370;Raville-sur-Sânon;202;359;374;389;409;718;789;911;977
