cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
89160;Pacy-sur-Armançon;135;159;189;219;239;318;365;397;445
89140;Pailly;151;176;206;236;256;352;405;440;493
89240;Parly;156;182;212;242;262;363;417;454;508
89100;Paron;156;182;212;242;262;363;417;454;508
89210;Paroy-en-Othe;144;169;199;229;249;337;388;421;472
89300;Paroy-sur-Tholon;146;171;201;231;251;341;393;427;478
89310;Pasilly;148;173;203;233;253;346;398;432;484
89510;Passy;160;186;216;246;266;372;427;465;520
89260;Perceneige;100;121;151;181;201;242;278;302;338
89360;Percey;120;143;173;203;223;285;328;356;399
89120;Perreux;180;208;238;268;288;415;477;519;581
89000;Perrigny;143;167;197;227;247;335;385;419;469
89390;Perrigny-sur-Armançon;153;178;208;238;258;357;410;446;499
89450;Pierre-Perthuis;180;208;238;268;288;415;477;519;581
89330;Piffonds;173;200;230;260;280;400;460;500;560
89740;Pimelles;123;146;176;206;226;292;335;364;408
89420;Pisy;168;195;225;255;275;389;447;486;545
89140;Plessis-Saint-Jean;110;132;162;192;212;263;303;329;369
89310;Poilly-sur-Serein;141;165;195;225;245;331;380;413;463
89110;Poilly-sur-Tholon;152;177;207;237;257;354;407;443;496
89200;Pontaubert;171;198;228;258;278;396;455;494;554
89230;Pontigny;138;162;192;222;242;324;373;405;454
89190;Pont-sur-Vanne;129;152;182;212;232;305;350;381;426
89140;Pont-sur-Yonne;136;160;190;220;240;320;368;400;448
89260;La Postolle;113;135;165;195;215;270;310;337;378
89240;Pourrain;157;183;213;243;263;365;420;456;511
89440;Précy-le-Sec;156;182;212;242;262;363;417;454;508
89116;Précy-sur-Vrin;157;183;213;243;263;365;420;456;511
89460;Prégilbert;164;190;220;250;270;380;437;475;532
89800;Préhy;145;170;200;230;250;339;390;424;475
89200;Provency;165;191;221;251;271;383;440;478;536
89120;Prunoy;176;203;233;263;283;406;467;508;569
89630;Quarré-les-Tombes;187;215;245;275;295;430;495;538;602
89290;Quenne;148;173;203;233;253;346;398;432;484
89740;Quincerot;107;128;158;188;208;257;295;321;360
89390;Ravières;149;174;204;234;254;348;400;435;487
89700;Roffey;122;145;175;205;225;289;333;362;405
89220;Rogny-les-Sept-Écluses;210;240;270;300;320;480;552;600;672
89170;Ronchères;191;219;249;279;299;439;505;549;614
89100;Rosoy;155;180;210;240;260;361;415;451;505
89500;Rousson;163;189;219;249;269;378;435;473;529
89230;Rouvray;130;153;183;213;233;307;353;383;429
89430;Rugny;115;137;167;197;217;274;315;343;384
89270;Sacy;151;176;206;236;256;352;405;440;493
89520;Sainpuits;190;218;248;278;298;437;502;546;611
89340;Saint-Agnan;165;191;221;251;271;383;440;478;536
89420;Saint-André-en-Terre-Plaine;176;203;233;263;283;406;467;508;569
89110;Saint-Aubin-Château-Neuf;164;190;220;250;270;380;437;475;532
89300;Saint-Aubin-sur-Yonne;148;173;203;233;253;346;398;432;484
89630;Saint-Brancher;182;210;240;270;290;419;482;524;587
89530;Saint-Bris-le-Vineux;150;175;205;235;255;350;403;438;490
89100;Saint-Clément;120;143;173;203;223;285;328;356;399
89800;Saint-Cyr-les-Colons;148;173;203;233;253;346;398;432;484
89100;Saint-Denis-lès-Sens;122;145;175;205;225;289;333;362;405
89120;Saint-Denis-sur-Ouanne;189;217;247;277;297;435;500;543;608
89440;Sainte-Colombe;93;113;143;173;193;227;260;283;317
89520;Sainte-Colombe-sur-Loing;186;214;244;274;294;428;492;535;599
89420;Sainte-Magnance;178;205;235;265;285;411;472;513;575
89460;Sainte-Pallaye;166;192;222;252;272;385;442;481;539
89310;Sainte-Vertu;142;166;196;226;246;333;383;416;466
89170;Saint-Fargeau;191;219;249;279;299;439;505;549;614
89600;Saint-Florentin;115;137;167;197;217;274;315;343;384
89000;Saint-Georges-sur-Baulche;145;170;200;230;250;339;390;424;475
89630;Saint-Germain-des-Champs;186;214;244;274;294;428;492;535;599
89330;Saint-Julien-du-Sault;156;182;212;242;262;363;417;454;508
89630;Saint-Léger-Vauban;190;218;248;278;298;437;502;546;611
89330;Saint-Loup-d'Ordon;164;190;220;250;270;380;437;475;532
89170;Saint-Martin-des-Champs;191;219;249;279;299;439;505;549;614
89330;Saint-Martin-d'Ordon;163;189;219;249;269;378;435;473;529
89100;Saint-Martin-du-Tertre;146;171;201;231;251;341;393;427;478
89700;Saint-Martin-sur-Armançon;126;149;179;209;229;298;343;373;417
89110;Saint-Martin-sur-Ocre;159;185;215;245;265;370;425;462;517
89120;Saint-Martin-sur-Ouanne;186;214;244;274;294;428;492;535;599
89190;Saint-Maurice-aux-Riches-Hommes;104;125;155;185;205;250;288;313;350
89110;Saint-Maurice-le-Vieil;159;185;215;245;265;370;425;462;517
89110;Saint-Maurice-Thizouaille;158;184;214;244;264;367;422;459;514
89270;Saint-Moré;164;190;220;250;270;380;437;475;532
89450;Saint-Père;176;203;233;263;283;406;467;508;569
89220;Saint-Privé;194;223;253;283;303;445;512;557;623
89116;Saint-Romain-le-Preux;168;195;225;255;275;389;447;486;545
89520;Saints-en-Puisaye;179;206;236;266;286;413;475;516;578
89520;Saint-Sauveur-en-Puisaye;183;211;241;271;291;422;485;527;590
89140;Saint-Sérotin;120;143;173;203;223;285;328;356;399
89150;Saint-Valérien;131;154;184;214;234;309;355;386;432
89100;Saligny;119;141;171;201;221;283;325;354;396
89160;Sambourg;139;163;193;223;243;326;375;408;457
89420;Santigny;168;195;225;255;275;389;447;486;545
89310;Sarry;155;180;210;240;260;361;415;451;505
89420;Sauvigny-le-Beuréal;183;211;241;271;291;422;485;527;590
89200;Sauvigny-le-Bois;167;193;223;253;273;387;445;484;542
89420;Savigny-en-Terre-Plaine;179;206;236;266;286;413;475;516;578
89150;Savigny-sur-Clairis;170;197;227;257;277;393;452;492;551
89420;Sceaux;173;200;230;260;280;400;460;500;560
89250;Seignelay;133;157;187;217;237;313;360;391;438
89560;Sementron;168;195;225;255;275;389;447;486;545
89710;Senan;153;178;208;238;258;357;410;446;499
89160;Sennevoy-le-Bas;143;167;197;227;247;335;385;419;469
89160;Sennevoy-le-Haut;143;167;197;227;247;335;385;419;469
89100;Sens;146;171;201;231;251;341;393;427;478
89116;Sépeaux;168;195;225;255;275;389;447;486;545
89140;Serbonnes;112;134;164;194;214;268;308;335;375
