cp;nom;distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16;17-31;32-54
59242;Cappelle-en-Pévèle;272;549;564;574;589;1 097;1 262;1 396;1 546
59180;Cappelle-la-Grande;342;693;708;718;733;1 386;1 594;1 743;1 921
59217;Carnières;220;441;456;466;481;883;1 015;1 139;1 267
59112;Carnin;260;524;539;549;564;1 048;1 205;1 337;1 482
59244;Cartignies;199;398;413;423;438;796;915;1 035;1 155
59670;Cassel;307;621;636;646;661;1 241;1 428;1 570;1 734
59360;Le Cateau-Cambrésis;195;390;405;415;430;779;896;1 015;1 133
59360;Catillon-sur-Sambre;195;390;405;415;430;779;896;1 015;1 133
59217;Cattenières;220;441;456;466;481;883;1 015;1 139;1 267
59540;Caudry;212;425;440;450;465;850;977;1 099;1 224
59191;Caullery;209;419;434;444;459;837;963;1 085;1 208
59400;Cauroir;215;431;446;456;471;862;991;1 114;1 240
59680;Cerfontaine;212;425;440;450;465;850;977;1 099;1 224
59930;La Chapelle-d'Armentières;287;579;594;604;619;1 159;1 333;1 471;1 627
59230;Château-l'Abbaye;253;509;524;534;549;1 019;1 171;1 302;1 444
59147;Chemy;262;528;543;553;568;1 056;1 214;1 347;1 492
59152;Chéreng;276;557;572;582;597;1 114;1 281;1 416;1 568
59740;Choisies;199;398;413;423;438;796;915;1 035;1 155
59740;Clairfayts;199;398;413;423;438;796;915;1 035;1 155
59225;Clary;207;414;429;439;454;829;953;1 075;1 198
59830;Cobrieux;280;565;580;590;605;1 130;1 300;1 436;1 589
59680;Colleret;212;425;440;450;465;850;977;1 099;1 224
59560;Comines;295;596;611;621;636;1 192;1 371;1 510;1 669
59163;Condé-sur-l'Escaut;264;532;547;557;572;1 064;1 224;1 357;1 503
59210;Coudekerque-Branche;343;695;710;720;735;1 390;1 598;1 748;1 927
59380;Coudekerque-Village;335;678;693;703;718;1 357;1 560;1 708;1 884
59552;Courchelettes;244;491;506;516;531;982;1 129;1 258;1 396
59149;Cousolre;219;439;454;464;479;878;1 010;1 134;1 262
59310;Coutiches;270;544;559;569;584;1 089;1 252;1 387;1 535
59279;Craywick;342;693;708;718;733;1 386;1 594;1 743;1 921
59154;Crespin;260;524;539;549;564;1 048;1 205;1 337;1 482
59258;Crèvecœur-sur-l'Escaut;206;412;427;437;452;825;948;1 070;1 192
59380;Crochte;335;678;693;703;718;1 357;1 560;1 708;1 884
59170;Croix;281;567;582;592;607;1 134;1 304;1 441;1 594
59222;Croix-Caluyau;201;402;417;427;442;804;925;1 045;1 165
59500;Cuincy;237;476;491;501;516;953;1 096;1 223;1 358
59990;Curgies;250;503;518;528;543;1 006;1 157;1 288;1 428
59268;Cuvillers;218;437;452;462;477;874;1 005;1 129;1 257
59830;Cysoing;280;565;580;590;605;1 130;1 300;1 436;1 589
59680;Damousies;212;425;440;450;465;850;977;1 099;1 224
59187;Dechy;232;466;481;491;506;932;1 072;1 198;1 332
59127;Dehéries;215;431;446;456;471;862;991;1 114;1 240
59220;Denain;235;472;487;497;512;944;1 086;1 213;1 348
59890;Deûlémont;291;588;603;613;628;1 175;1 352;1 490;1 648
59740;Dimechaux;199;398;413;423;438;796;915;1 035;1 155
59216;Dimont;203;406;421;431;446;812;934;1 055;1 176
62147;Doignies;214;429;444;454;469;858;986;1 109;1 235
59440;Dompierre-sur-Helpe;195;390;405;415;430;779;896;1 015;1 133
59272;Don;263;530;545;555;570;1 060;1 219;1 352;1 498
59500;Douai;233;468;483;493;508;936;1 077;1 203;1 337
59282;Douchy-les-Mines;232;466;481;491;506;932;1 072;1 198;1 332
59940;Le Doulieu;287;579;594;604;619;1 159;1 333;1 471;1 627
59440;Dourlers;195;390;405;415;430;779;896;1 015;1 133
59630;Drincham;333;674;689;699;714;1 349;1 551;1 698;1 873
59140;Dunkerque;350;709;724;734;749;1 419;1 632;1 783;1 964
59173;Ebblinghem;303;612;627;637;652;1 225;1 409;1 550;1 712
59176;Écaillon;234;470;485;495;510;940;1 081;1 208;1 342
59740;Eccles;203;406;421;431;446;812;934;1 055;1 176
59330;Éclaibes;205;410;425;435;450;821;944;1 065;1 187
59620;Écuélin;202;404;419;429;444;808;929;1 050;1 171
59114;Eecke;313;633;648;658;673;1 266;1 456;1 599;1 766
59600;Élesmes;218;437;452;462;477;874;1 005;1 129;1 257
59127;Élincourt;201;402;417;427;442;804;925;1 045;1 165
59580;Émerchicourt;229;460;475;485;500;920;1 058;1 184;1 316
59320;Emmerin;269;542;557;567;582;1 085;1 247;1 382;1 530
59530;Englefontaine;202;404;419;429;444;808;929;1 050;1 171
59320;Englos;293;592;607;617;632;1 184;1 361;1 500;1 659
59320;Ennetières-en-Weppes;282;569;584;594;609;1 138;1 309;1 446;1 600
59710;Ennevelin;267;538;553;563;578;1 076;1 238;1 372;1 519
59132;Eppe-Sauvage;204;408;423;433;448;817;939;1 060;1 181
59169;Erchin;231;464;479;489;504;928;1 067;1 193;1 326
59470;Eringhem;338;685;700;710;725;1 369;1 575;1 723;1 900
59320;Erquinghem-le-Sec;283;571;586;596;611;1 142;1 314;1 451;1 605
59193;Erquinghem-Lys;294;594;609;619;634;1 188;1 366;1 505;1 664
59171;Erre;239;480;495;505;520;961;1 105;1 233;1 369
59213;Escarmain;249;501;516;526;541;1 002;1 152;1 283;1 423
