cp;commune;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
55400;Blanzée;157;311;326;336;351;623;716;827;929
55400;Boinville-en-Woëvre;151;299;314;324;339;598;688;797;897
55200;Boncourt-sur-Meuse;124;243;258;268;283;487;559;664;752
55130;Bonnet;124;243;258;268;283;487;559;664;752
55160;Bonzée;150;297;312;322;337;594;683;793;892
55500;Le Bouchon-sur-Saulx;93;179;194;204;219;359;412;510;586
55300;Bouconville-sur-Madt;137;270;285;295;310;540;621;728;822
55240;Bouligny;166;330;345;355;370;660;759;872;978
55300;Bouquemont;139;274;289;299;314;548;631;738;833
55270;Boureuilles;115;225;240;250;265;449;517;619;704
55190;Bovée-sur-Barboure;120;235;250;260;275;470;541;644;731
55500;Boviolles;110;214;229;239;254;429;493;595;677
55120;Brabant-en-Argonne;110;214;229;239;254;429;493;595;677
55800;Brabant-le-Roi;78;148;163;173;188;297;341;436;506
55100;Brabant-sur-Meuse;143;282;297;307;322;565;650;758;854
55150;Brandeville;157;311;326;336;351;623;716;827;929
55400;Braquis;145;287;302;312;327;573;659;768;865
55100;Bras-sur-Meuse;121;237;252;262;277;474;545;649;736
55170;Brauvilliers;103;200;215;225;240;400;460;560;640
55150;Bréhéville;162;322;337;347;362;643;740;852;956
55600;Breux;177;353;368;378;393;705;811;926;1037
55110;Brieulles-sur-Meuse;139;274;289;299;314;548;631;738;833
55000;Brillon-en-Barrois;82;157;172;182;197;313;360;456;527
55140;Brixey-aux-Chanoines;150;297;312;322;337;594;683;793;892
55250;Brizeaux;116;227;242;252;267;454;522;624;710
55120;Brocourt-en-Argonne;111;216;231;241;256;433;498;599;683
55700;Brouennes;163;324;339;349;364;647;744;857;962
55190;Broussey-en-Blois;123;241;256;266;281;482;555;659;747
55200;Broussey-Raulecourt;136;268;283;293;308;536;616;723;817
55290;Bure;112;219;234;244;259;437;503;604;688
55140;Burey-en-Vaux;137;270;285;295;310;540;621;728;822
55140;Burey-la-Côte;146;289;304;314;329;577;664;773;870
55300;Buxières-sous-les-Côtes;173;344;359;369;384;689;792;906;1015
55400;Buzy-Darmont;155;307;322;332;347;614;707;817;919
55700;Cesse;160;318;333;343;358;635;730;842;946
55210;Chaillon;156;309;324;334;349;619;711;822;924
55140;Chalaines;156;309;324;334;349;619;711;822;924
55100;Champneuville;119;233;248;258;273;466;536;639;726
55140;Champougny;141;278;293;303;318;557;640;748;844
55500;Chanteraine;105;204;219;229;244;408;469;570;651
55000;Chardogne;90;173;188;198;213;346;398;496;570
55100;Charny-sur-Meuse;119;233;248;258;273;466;536;639;726
55270;Charpentry;124;243;258;268;283;487;559;664;752
55130;Chassey-Beaupré;125;245;260;270;285;491;564;669;758
55400;Châtillon-sous-les-Côtes;140;276;291;301;316;553;635;743;838
55100;Chattancourt;127;249;264;274;289;499;574;679;769
55150;Chaumont-devant-Damvillers;148;293;308;318;333;586;673;783;881
55260;Chaumont-sur-Aire;127;249;264;274;289;499;574;679;769
55600;Chauvency-le-Château;164;326;341;351;366;652;749;862;967
55600;Chauvency-Saint-Hubert;166;330;345;355;370;660;759;872;978
55300;Chauvoncourt;123;241;256;266;281;482;555;659;747
55270;Cheppy;121;237;252;262;277;474;545;649;736
55200;Chonville-Malaumont;118;231;246;256;271;462;531;634;720
55270;Cierges-sous-Montfaucon;130;256;271;281;296;511;588;694;785
55120;Le Claon;88;169;184;194;209;338;389;486;559
