cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
89520;Fontenoy;220;393;408;423;443;785;864;992;1061
89150;Fouchères;86;141;156;171;191;283;311;389;433
89320;Fournaudin;126;216;231;246;266;433;476;569;621
89560;Fouronnes;169;297;312;327;347;594;653;763;822
89310;Fresnes;134;231;246;261;281;463;509;605;658
89160;Fulvy;143;248;263;278;298;496;546;646;700
89600;Germigny;119;203;218;233;253;406;447;538;588
89160;Gigny;140;243;258;273;293;485;534;632;686
89200;Girolles;199;353;368;383;403;706;777;898;963
89140;Gisy-les-Nobles;150;261;276;291;311;523;575;677;733
89200;Givry;168;295;310;325;345;590;649;758;818
89740;Gland;126;216;231;246;266;433;476;569;621
89350;Grandchamp;203;361;376;391;411;721;793;916;982
89310;Grimault;149;259;274;289;309;519;571;673;728
89100;Gron;157;274;289;304;324;549;604;709;766
89113;Guerchy;147;256;271;286;306;511;562;664;719
89420;Guillon;170;299;314;329;349;598;657;767;827
89250;Gurgy;140;243;258;273;293;485;534;632;686
89580;Gy-l'Évêque;152;265;280;295;315;530;583;686;743
89250;Hauterive;131;226;241;256;276;451;496;592;644
89550;Héry;130;224;239;254;274;448;492;587;639
89290;Irancy;156;273;288;303;323;545;600;704;761
89200;Island;170;299;314;329;349;598;657;767;827
89440;L'Isle-sur-Serein;158;276;291;306;326;553;608;713;771
89360;Jaulges;122;209;224;239;259;418;459;551;602
89300;Joigny;159;278;293;308;328;556;612;718;775
89310;Jouancy;148;258;273;288;308;515;567;668;724
89440;Joux-la-Ville;152;265;280;295;315;530;583;686;743
89150;Jouy;160;280;295;310;330;560;616;722;780
89160;Jully;140;243;258;273;293;485;534;632;686
89700;Junay;124;213;228;243;263;425;468;560;611
89290;Jussy;178;314;329;344;364;628;690;803;864
89110;Laduz;199;353;368;383;403;706;777;898;963
89190;Lailly;120;205;220;235;255;410;451;542;593
89560;Lain;168;295;310;325;345;590;649;758;818
89520;Lainsecq;185;327;342;357;377;654;719;835;897
89130;Lalande;210;374;389;404;424;748;822;947;1014
89400;Laroche-Saint-Cydroine;135;233;248;263;283;466;513;610;663
89570;Lasson;106;179;194;209;229;358;393;479;527
89170;Lavau;191;338;353;368;388;676;744;862;925
89130;Leugny;163;286;301;316;336;571;628;736;794
89520;Levis;183;323;338;353;373;646;711;826;888
89160;Lézinnes;131;226;241;256;276;451;496;592;644
89800;Lichères-près-Aigremont;145;252;267;282;302;504;554;655;710
89660;Lichères-sur-Yonne;183;323;338;353;373;646;711;826;888
89800;Lignorelles;134;231;246;261;281;463;509;605;658
89144;Ligny-le-Châtel;128;220;235;250;270;440;484;578;630
89240;Lindry;154;269;284;299;319;538;591;695;752
89140;Lixy;150;261;276;291;311;523;575;677;733
89300;Looze;140;243;258;273;293;485;534;632;686
89200;Lucy-le-Bois;160;280;295;310;330;560;616;722;780
89270;Lucy-sur-Cure;160;280;295;310;330;560;616;722;780
89480;Lucy-sur-Yonne;180;318;333;348;368;635;699;812;874
89200;Magny;171;301;316;331;351;601;661;772;832
89100;Maillot;140;243;258;273;293;485;534;632;686
89270;Mailly-la-Ville;168;295;310;325;345;590;649;758;818
89660;Mailly-le-Château;171;301;316;331;351;601;661;772;832
89100;Malay-le-Grand;137;237;252;267;287;474;521;619;672
89100;Malay-le-Petit;133;229;244;259;279;459;505;601;653
89120;Malicorne;189;334;349;364;384;669;736;853;916
89800;Maligny;132;228;243;258;278;455;501;596;649
89120;Marchais-Beton;189;334;349;364;384;669;736;853;916
89420;Marmeaux;162;284;299;314;334;568;624;731;789
89500;Marsangy;161;282;297;312;332;564;620;727;785
89440;Massangis;152;265;280;295;315;530;583;686;743
89430;Mélisey;119;203;218;233;253;406;447;538;588
89450;Menades;178;314;329;344;364;628;690;803;864
89210;Mercy;125;214;229;244;264;429;472;565;616
89144;Méré;131;226;241;256;276;451;496;592;644
89110;Merry-la-Vallée;163;286;301;316;336;571;628;736;794
89560;Merry-Sec;161;282;297;312;332;564;620;727;785
89660;Merry-sur-Yonne;174;306;321;336;356;613;674;785;846
89130;Mézilles;176;310;325;340;360;620;682;794;855
89140;Michery;120;205;220;235;255;410;451;542;593
89580;Migé;163;286;301;316;336;571;628;736;794
89400;Migennes;133;229;244;259;279;459;505;601;653
89310;Môlay;147;256;271;286;306;511;562;664;719
89560;Molesmes;124;213;228;243;263;425;468;560;611
89190;Molinons;120;205;220;235;255;410;451;542;593
89700;Molosmes;123;211;226;241;261;421;463;556;607
89470;Monéteau;138;239;254;269;289;478;525;623;677
89150;Montacher-Villegardin;156;273;288;303;323;545;600;704;761
89230;Montigny-la-Resle;132;228;243;258;278;455;501;596;649
89660;Montillot;174;306;321;336;356;613;674;785;846
89420;Montréal;167;293;308;323;343;586;645;754;813
89250;Mont-Saint-Sulpice;126;216;231;246;266;433;476;569;621
89560;Mouffy;166;291;306;321;341;583;641;749;808
89310;Moulins-en-Tonnerrois;152;265;280;295;315;530;583;686;743
89130;Moulins-sur-Ouanne;170;299;314;329;349;598;657;767;827
89520;Moutiers-en-Puisaye;185;327;342;357;377;654;719;835;897
89100;Nailly;151;263;278;293;313;526;579;682;738
89113;Neuilly;142;246;261;276;296;493;542;641;696
89570;Neuvy-Sautour;109;184;199;214;234;369;406;493;541
89310;Nitry;146;254;269;284;304;508;558;659;714
89320;Noé;135;233;248;263;283;466;513;610;663
89310;Noyers;151;263;278;293;313;526;579;682;738
89390;Nuits;154;269;284;299;319;538;591;695;752
89110;Les Ormes;164;288;303;318;338;575;633;740;799
89400;Ormoy;135;233;248;263;283;466;513;610;663
89560;Ouanne;166;291;306;321;341;583;641;749;808
89160;Pacy-sur-Armançon;135;233;248;263;283;466;513;610;663
89140;Pailly;151;263;278;293;313;526;579;682;738
89240;Parly;156;273;288;303;323;545;600;704;761
89100;Paron;156;273;288;303;323;545;600;704;761
89210;Paroy-en-Othe;144;250;265;280;300;500;550;650;705
89300;Paroy-sur-Tholon;146;254;269;284;304;508;558;659;714
89310;Pasilly;148;258;273;288;308;515;567;668;724
89510;Passy;160;280;295;310;330;560;616;722;780
89260;Perceneige;100;168;183;198;218;335;369;452;499
89360;Percey;120;205;220;235;255;410;451;542;593
89120;Perreux;180;318;333;348;368;635;699;812;874
89000;Perrigny;143;248;263;278;298;496;546;646;700
89390;Perrigny-sur-Armançon;153;267;282;297;317;534;587;691;747
89450;Pierre-Perthuis;180;318;333;348;368;635;699;812;874
89330;Piffonds;173;304;319;334;354;609;670;781;841
89740;Pimelles;123;211;226;241;261;421;463;556;607
89420;Pisy;168;295;310;325;345;590;649;758;818
89140;Plessis-Saint-Jean;110;186;201;216;236;373;410;497;546
89310;Poilly-sur-Serein;141;244;259;274;294;489;538;637;691
89110;Poilly-sur-Tholon;152;265;280;295;315;530;583;686;743
89200;Pontaubert;171;301;316;331;351;601;661;772;832
89230;Pontigny;138;239;254;269;289;478;525;623;677
89190;Pont-sur-Vanne;129;222;237;252;272;444;488;583;635
89140;Pont-sur-Yonne;136;235;250;265;285;470;517;614;668
89260;La Postolle;113;192;207;222;242;384;422;511;560
89240;Pourrain;157;274;289;304;324;549;604;709;766
89440;Précy-le-Sec;156;273;288;303;323;545;600;704;761
89116;Précy-sur-Vrin;157;274;289;304;324;549;604;709;766
89460;Prégilbert;164;288;303;318;338;575;633;740;799
89800;Préhy;145;252;267;282;302;504;554;655;710
89200;Provency;165;289;304;319;339;579;637;745;803
89120;Prunoy;176;310;325;340;360;620;682;794;855
89630;Quarré-les-Tombes;187;331;346;361;381;661;727;844;907
89290;Quenne;148;258;273;288;308;515;567;668;724
89740;Quincerot;107;181;196;211;231;361;397;484;532
89390;Ravières;149;259;274;289;309;519;571;673;728
89700;Roffey;122;209;224;239;259;418;459;551;602
89220;Rogny-les-Sept-Écluses;210;374;389;404;424;748;822;947;1014
89170;Ronchères;191;338;353;368;388;676;744;862;925
89100;Rosoy;155;271;286;301;321;541;595;700;757
89500;Rousson;163;286;301;316;336;571;628;736;794
89230;Rouvray;130;224;239;254;274;448;492;587;639
89430;Rugny;115;196;211;226;246;391;430;520;569
89270;Sacy;151;263;278;293;313;526;579;682;738
89520;Sainpuits;190;336;351;366;386;673;740;857;921
89340;Saint-Agnan;165;289;304;319;339;579;637;745;803
89420;Saint-André-en-Terre-Plaine;176;310;325;340;360;620;682;794;855
89110;Saint-Aubin-Château-Neuf;164;288;303;318;338;575;633;740;799
89300;Saint-Aubin-sur-Yonne;148;258;273;288;308;515;567;668;724
89630;Saint-Brancher;182;321;336;351;371;643;707;821;883
89530;Saint-Bris-le-Vineux;150;261;276;291;311;523;575;677;733
89100;Saint-Clément;120;205;220;235;255;410;451;542;593
89800;Saint-Cyr-les-Colons;148;258;273;288;308;515;567;668;724
89100;Saint-Denis-lès-Sens;122;209;224;239;259;418;459;551;602
89120;Saint-Denis-sur-Ouanne;189;334;349;364;384;669;736;853;916
89440;Sainte-Colombe;93;154;169;184;204;309;340;421;466
89520;Sainte-Colombe-sur-Loing;186;329;344;359;379;658;723;839;902
89420;Sainte-Magnance;178;314;329;344;364;628;690;803;864
89460;Sainte-Pallaye;166;291;306;321;341;583;641;749;808
89310;Sainte-Vertu;142;246;261;276;296;493;542;641;696
89170;Saint-Fargeau;191;338;353;368;388;676;744;862;925
89600;Saint-Florentin;115;196;211;226;246;391;430;520;569
89000;Saint-Georges-sur-Baulche;145;252;267;282;302;504;554;655;710
89630;Saint-Germain-des-Champs;186;329;344;359;379;658;723;839;902
89330;Saint-Julien-du-Sault;156;273;288;303;323;545;600;704;761
89630;Saint-Léger-Vauban;190;336;351;366;386;673;740;857;921
89330;Saint-Loup-d'Ordon;164;288;303;318;338;575;633;740;799
89170;Saint-Martin-des-Champs;191;338;353;368;388;676;744;862;925
89330;Saint-Martin-d'Ordon;163;286;301;316;336;571;628;736;794
89100;Saint-Martin-du-Tertre;146;254;269;284;304;508;558;659;714
89700;Saint-Martin-sur-Armançon;126;216;231;246;266;433;476;569;621
89110;Saint-Martin-sur-Ocre;159;278;293;308;328;556;612;718;775
89120;Saint-Martin-sur-Ouanne;186;329;344;359;379;658;723;839;902
89190;Saint-Maurice-aux-Riches-Hommes;104;175;190;205;225;350;385;470;518
89110;Saint-Maurice-le-Vieil;159;278;293;308;328;556;612;718;775
89110;Saint-Maurice-Thizouaille;158;276;291;306;326;553;608;713;771
89270;Saint-Moré;164;288;303;318;338;575;633;740;799
89450;Saint-Père;176;310;325;340;360;620;682;794;855
89220;Saint-Privé;194;344;359;374;394;688;756;875;939
89116;Saint-Romain-le-Preux;168;295;310;325;345;590;649;758;818
89520;Saints-en-Puisaye;179;316;331;346;366;631;694;808;869
89520;Saint-Sauveur-en-Puisaye;183;323;338;353;373;646;711;826;888
89140;Saint-Sérotin;120;205;220;235;255;410;451;542;593
89150;Saint-Valérien;131;226;241;256;276;451;496;592;644
89100;Saligny;119;203;218;233;253;406;447;538;588
89160;Sambourg;139;241;256;271;291;481;529;628;682
89420;Santigny;168;295;310;325;345;590;649;758;818
89310;Sarry;155;271;286;301;321;541;595;700;757
89420;Sauvigny-le-Beuréal;183;323;338;353;373;646;711;826;888
89200;Sauvigny-le-Bois;167;293;308;323;343;586;645;754;813
89420;Savigny-en-Terre-Plaine;179;316;331;346;366;631;694;808;869
89150;Savigny-sur-Clairis;170;299;314;329;349;598;657;767;827
89420;Sceaux;173;304;319;334;354;609;670;781;841
89250;Seignelay;133;229;244;259;279;459;505;601;653
89560;Sementron;168;295;310;325;345;590;649;758;818
89710;Senan;153;267;282;297;317;534;587;691;747
89160;Sennevoy-le-Bas;143;248;263;278;298;496;546;646;700
89160;Sennevoy-le-Haut;143;248;263;278;298;496;546;646;700
89100;Sens;146;254;269;284;304;508;558;659;714
89116;Sépeaux;168;295;310;325;345;590;649;758;818
89140;Serbonnes;112;190;205;220;240;380;418;506;555
89140;Sergines;109;184;199;214;234;369;406;493;541
89200;Sermizelles;165;289;304;319;339;579;637;745;803
89700;Serrigny;134;231;246;261;281;463;509;605;658
89270;Sery;165;289;304;319;339;579;637;745;803
89190;Les Sièges;110;186;201;216;236;373;410;497;546
89110;Sommecaise;178;314;329;344;364;628;690;803;864
89570;Sormery;110;186;201;216;236;373;410;497;546
89100;Soucy;114;194;209;224;244;388;426;515;564
89520;Sougères-en-Puisaye;184;325;340;355;375;650;715;830;893
89570;Soumaintrain;112;190;205;220;240;380;418;506;555
89160;Stigny;152;265;280;295;315;530;583;686;743
89100;Subligny;133;229;244;259;279;459;505;601;653
89560;Taingy;173;304;319;334;354;609;670;781;841
89420;Talcy;164;288;303;318;338;575;633;740;799
89430;Tanlay;129;222;237;252;272;444;488;583;635
89350;Tannerre-en-Puisaye;181;319;334;349;369;639;703;817;878
89450;Tharoiseau;192;340;355;370;390;680;748;866;930
89200;Tharot;179;316;331;346;366;631;694;808;869
89320;Theil-sur-Vanne;120;205;220;235;255;410;451;542;593
89420;Thizy;167;293;308;323;343;586;645;754;813
89430;Thorey;113;192;207;222;242;384;422;511;560
89260;Thorigny-sur-Oreuse;110;186;201;216;236;373;410;497;546
89200;Thory;162;284;299;314;334;568;624;731;789
89520;Thury;183;323;338;353;373;646;711;826;888
89700;Tissey;130;224;239;254;274;448;492;587;639
89700;Tonnerre;126;216;231;246;266;433;476;569;621
89130;Toucy;166;291;306;321;341;583;641;749;808
89520;Treigny;192;340;355;370;390;680;748;866;930
89420;Trévilly;176;310;325;340;360;620;682;794;855
89430;Trichey;109;184;199;214;234;369;406;493;541
89700;Tronchoy;121;207;222;237;257;414;455;547;597
89460;Trucy-sur-Yonne;164;288;303;318;338;575;633;740;799
89570;Turny;113;192;207;222;242;384;422;511;560
89580;Val-de-Mercy;159;278;293;308;328;556;612;718;775
89580;Vallan;154;269;284;299;319;538;591;695;752
89150;Vallery;130;224;239;254;274;448;492;587;639
89320;Vareilles;113;192;207;222;242;384;422;511;560
89144;Varennes;127;218;233;248;268;436;480;574;625
89420;Vassy-sous-Pisy;165;289;304;319;339;579;637;745;803
89320;Vaudeurs;112;190;205;220;240;380;418;506;555
89200;Vault-de-Lugny;173;304;319;334;354;609;670;781;841
89320;Vaumort;138;239;254;269;289;478;525;623;677
89210;Venizy;118;201;216;231;251;403;443;533;583
89230;Venouse;130;224;239;254;274;448;492;587;639
89290;Venoy;142;246;261;276;296;493;542;641;696
89600;Vergigny;119;203;218;233;253;406;447;538;588
89330;Verlin;167;293;308;323;343;586;645;754;813
89270;Vermenton;160;280;295;310;330;560;616;722;780
89150;Vernoy;164;288;303;318;338;575;633;740;799
89510;Véron;131;226;241;256;276;451;496;592;644
89700;Vézannes;126;216;231;246;266;433;476;569;621
89450;Vézelay;177;312;327;342;362;624;686;799;860
89700;Vézinnes;124;213;228;243;263;425;468;560;611
89420;Vignes;171;301;316;331;351;601;661;772;832
89340;Villeblevin;120;205;220;235;255;410;451;542;593
89150;Villebougis;125;214;229;244;264;429;472;565;616
89320;Villechétive;119;203;218;233;253;406;447;538;588
89300;Villecien;149;259;274;289;309;519;571;673;728
89240;Villefargeau;149;259;274;289;309;519;571;673;728
89120;Villefranche;180;318;333;348;368;635;699;812;874
89140;Villemanoche;138;239;254;269;289;478;525;623;677
89113;Villemer;136;235;250;265;285;470;517;614;668
89140;Villenavotte;120;205;220;235;255;410;451;542;593
89150;Villeneuve-la-Dondagre;160;280;295;310;330;560;616;722;780
89340;Villeneuve-la-Guyard;118;201;216;231;251;403;443;533;583
89190;Villeneuve-l'Archevêque;118;201;216;231;251;403;443;533;583
89350;Villeneuve-les-Genêts;183;323;338;353;373;646;711;826;888
89230;Villeneuve-Saint-Salves;134;231;246;261;281;463;509;605;658
89500;Villeneuve-sur-Yonne;162;284;299;314;334;568;624;731;789
89140;Villeperrot;153;267;282;297;317;534;587;691;747
89100;Villeroy;140;243;258;273;293;485;534;632;686
89140;Villethierry;127;218;233;248;268;436;480;574;625
89330;Villevallier;171;301;316;331;351;601;661;772;832
89160;Villiers-les-Hauts;146;254;269;284;304;508;558;659;714
89320;Villiers-Louis;133;229;244;259;279;459;505;601;653
89130;Villiers-Saint-Benoît;175;308;323;338;358;616;678;790;850
89110;Villiers-sur-Tholon;157;274;289;304;324;549;604;709;766
89360;Villiers-Vineux;122;209;224;239;259;418;459;551;602
89740;Villon;113;192;207;222;242;384;422;511;560
89800;Villy;142;246;261;276;296;493;542;641;696
89290;Vincelles;155;271;286;301;321;541;595;700;757
89290;Vincelottes;156;273;288;303;323;545;600;704;761
89140;Vinneuf;112;190;205;220;240;380;418;506;555
89160;Vireaux;136;235;250;265;285;470;517;614;668
89700;Viviers;125;214;229;244;264;429;472;565;616
89260;Voisines;116;198;213;228;248;395;435;524;574
89710;Volgré;156;273;288;303;323;545;600;704;761
89270;Voutenay-sur-Cure;162;284;299;314;334;568;624;731;789
89700;Yrouerre;135;233;248;263;283;466;513;610;663
