cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
59219;Floyon;187;373;388;398;413;746;858;976;1090
59550;Fontaine-au-Bois;198;396;411;421;436;792;911;1030;1149
59157;Fontaine-au-Pire;220;441;456;466;481;883;1015;1139;1267
59400;Fontaine-Notre-Dame;214;429;444;454;469;858;986;1109;1235
59222;Forest-en-Cambrésis;199;398;413;423;438;796;915;1035;1155
59510;Forest-sur-Marque;277;559;574;584;599;1118;1285;1421;1573
59610;Fourmies;187;373;388;398;413;746;858;976;1090
59134;Fournes-en-Weppes;276;557;572;582;597;1114;1281;1416;1568
59530;Frasnoy;260;524;539;549;564;1048;1205;1337;1482
59236;Frelinghien;293;592;607;617;632;1184;1361;1500;1659
59970;Fresnes-sur-Escaut;258;520;535;545;560;1039;1195;1327;1471
59234;Fressain;227;456;471;481;496;911;1048;1174;1305
59268;Fressies;224;450;465;475;490;899;1034;1159;1289
59273;Fretin;268;540;555;565;580;1081;1243;1377;1525
59249;Fromelles;278;561;576;586;601;1122;1290;1426;1578
59242;Genech;276;557;572;582;597;1114;1281;1416;1568
59530;Ghissignies;208;417;432;442;457;833;958;1080;1203
59254;Ghyvelde;343;695;710;720;735;1390;1598;1748;1927
59132;Glageon;193;386;401;411;426;771;887;1005;1122
59270;Godewaersvelde;311;629;644;654;669;1258;1447;1589;1755
59169;Gœulzin;227;456;471;481;496;911;1048;1174;1305
59600;Gognies-Chaussée;275;555;570;580;595;1109;1276;1411;1562
59144;Gommegnies;214;429;444;454;469;858;986;1109;1235
59147;Gondecourt;262;528;543;553;568;1056;1214;1347;1492
59231;Gonnelieu;199;398;413;423;438;796;915;1035;1155
59253;La Gorgue;284;573;588;598;613;1147;1318;1456;1610
59231;Gouzeaucourt;200;400;415;425;440;800;920;1040;1160
59760;Grande-Synthe;348;705;720;730;745;1411;1622;1773;1954
59244;Grand-Fayt;200;400;415;425;440;800;920;1040;1160
59153;Grand-Fort-Philippe;343;695;710;720;735;1390;1598;1748;1927
59820;Gravelines;341;691;706;716;731;1382;1589;1738;1916
59360;La Groise;188;375;390;400;415;751;863;981;1096
59152;Gruson;278;561;576;586;601;1122;1290;1426;1578
59287;Guesnain;234;470;485;495;510;940;1081;1208;1342
59570;Gussignies;266;536;551;561;576;1072;1233;1367;1514
59320;Hallennes-lez-Haubourdin;283;571;586;596;611;1142;1314;1451;1605
59250;Halluin;292;590;605;615;630;1180;1356;1495;1653
59151;Hamel;226;454;469;479;494;907;1043;1169;1299
59496;Hantay;271;546;561;571;586;1093;1257;1391;1541
59670;Hardifort;312;631;646;656;671;1262;1451;1594;1761
59138;Hargnies;185;369;384;394;409;738;849;966;1080
59178;Hasnon;253;509;524;534;549;1019;1171;1302;1444
59198;Haspres;234;470;485;495;510;940;1081;1208;1342
59320;Haubourdin;271;546;561;571;586;1093;1257;1391;1541
59191;Haucourt-en-Cambrésis;213;427;442;452;467;854;982;1104;1230
59121;Haulchin;235;472;487;497;512;944;1086;1213;1348
59294;Haussy;240;483;498;508;523;965;1110;1238;1375
59440;Haut-Lieu;192;384;399;409;424;767;882;1000;1117
59330;Hautmont;210;421;436;446;461;841;967;1090;1214
59255;Haveluy;238;478;493;503;518;957;1100;1228;1364
59660;Haverskerque;284;573;588;598;613;1147;1318;1456;1610
