cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
55110;Fontaines-Saint-Clair;151;263;278;293;313;526;579;682;738
55110;Forges-sur-Meuse;120;205;220;235;255;410;451;542;593
55250;Foucaucourt-sur-Thabas;100;168;183;198;218;335;369;452;499
55500;Fouchères-aux-Bois;94;156;171;186;206;313;344;425;471
55200;Frémeréville-sous-les-Côtes;132;228;243;258;278;455;501;596;649
55260;Fresnes-au-Mont;116;198;213;228;248;395;435;524;574
55160;Fresnes-en-Woëvre;147;256;271;286;306;511;562;664;719
55120;Froidos;107;181;196;211;231;361;397;484;532
55100;Fromeréville-les-Vallons;109;184;199;214;234;369;406;493;541
55400;Fromezey;144;250;265;280;300;500;550;650;705
55120;Futeau;100;168;183;198;218;335;369;452;499
55320;Génicourt-sur-Meuse;121;207;222;237;257;414;455;547;597
55110;Gercourt-et-Drillancourt;137;237;252;267;287;474;521;619;672
55000;Géry;114;194;209;224;244;388;426;515;564
55110;Gesnes-en-Argonne;131;226;241;256;276;451;496;592;644
55200;Geville;132;228;243;258;278;455;501;596;649
55260;Gimécourt;115;196;211;226;246;391;430;520;569
55400;Gincrey;159;278;293;308;328;556;612;718;775
55200;Girauvoisin;129;222;237;252;272;444;488;583;635
55500;Givrauval;113;192;207;222;242;384;422;511;560
55130;Gondrecourt-le-Château;128;220;235;250;270;440;484;578;630
55230;Gouraincourt;163;286;301;316;336;571;628;736;794
55140;Goussaincourt;148;258;273;288;308;515;567;668;724
55150;Gremilly;148;258;273;288;308;515;567;668;724
55400;Grimaucourt-en-Woëvre;153;267;282;297;317;534;587;691;747
55500;Grimaucourt-près-Sampigny;122;209;224;239;259;418;459;551;602
55000;Guerpont;106;179;194;209;229;358;393;479;527
55400;Gussainville;152;265;280;295;315;530;583;686;743
55000;Haironville;85;139;154;169;189;279;307;385;428
55700;Halles-sous-les-Côtes;135;233;248;263;283;466;513;610;663
55600;Han-lès-Juvigny;168;295;310;325;345;590;649;758;818
55210;Hannonville-sous-les-Côtes;155;271;286;301;321;541;595;700;757
55300;Han-sur-Meuse;131;226;241;256;276;451;496;592;644
55160;Harville;152;265;280;295;315;530;583;686;743
55100;Haudainville;118;201;216;231;251;403;443;533;583
55160;Haudiomont;151;263;278;293;313;526;579;682;738
55100;Haumont-près-Samogneux;145;252;267;282;302;504;554;655;710
55000;Les Hauts-de-Chée;91;151;166;181;201;301;331;412;457
55220;Heippes;114;194;209;224;244;388;426;515;564
55160;Hennemont;146;254;269;284;304;508;558;659;714
55210;Herbeuville;154;269;284;299;319;538;591;695;752
55400;Herméville-en-Woëvre;136;235;250;265;285;470;517;614;668
55210;Heudicourt-sous-les-Côtes;144;250;265;280;300;500;550;650;705
