cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
2540;La Celle-sous-Montmirail;74;119;134;149;169;238;261;335;377
2330;La Chapelle-Monthodon;70;111;126;141;161;223;245;317;358
2570;La Chapelle-sur-Chézy;87;143;158;173;193;286;315;394;438
2210;La Croix-sur-Ourcq;136;235;250;265;285;470;517;614;668
2800;La Fère;153;267;282;297;317;534;587;691;747
2270;La Ferté-Chevresis;156;273;288;303;323;545;600;704;761
2460;La Ferté-Milon;151;263;278;293;313;526;579;682;738
2260;La Flamengrie;179;316;331;346;366;631;694;808;869
2500;La Hérie;163;286;301;316;336;571;628;736;794
2190;La Malmaison;114;194;209;224;244;388;426;515;564
2250;La Neuville-Bosmont;150;261;276;291;311;523;575;677;733
2300;La Neuville-en-Beine;175;308;323;338;358;616;678;790;850
2250;La Neuville-Housset;153;267;282;297;317;534;587;691;747
2450;La Neuville-lès-Dorengt;178;314;329;344;364;628;690;803;864
2150;La Selve;121;207;222;237;257;414;455;547;597
2140;La Vallée-au-Blé;167;293;308;323;343;586;645;754;813
2110;La Vallée-Mulâtre;185;327;342;357;377;654;719;835;897
2340;La Ville-aux-Bois-lès-Dizy;131;226;241;256;276;451;496;592;644
2160;La Ville-aux-Bois-lès-Pontavert;109;184;199;214;234;369;406;493;541
2880;Laffaux;128;220;235;250;270;440;484;578;630
2140;Laigny;167;293;308;323;343;586;645;754;813
2590;Lanchy;184;325;340;355;375;650;715;830;893
2120;Landifay-et-Bertaignemont;163;286;301;316;336;571;628;736;794
2140;Landouzy-la-Cour;167;293;308;323;343;586;645;754;813
2140;Landouzy-la-Ville;160;280;295;310;330;560;616;722;780
2380;Landricourt;146;254;269;284;304;508;558;659;714
2000;Laniscourt;146;254;269;284;304;508;558;659;714
2000;Laon;130;224;239;254;274;448;492;587;639
2150;Lappion;129;222;237;252;272;444;488;583;635
2600;Largny-sur-Automne;154;269;284;299;319;538;591;695;752
2210;Latilly;135;233;248;263;283;466;513;610;663
2210;Launoy;130;224;239;254;274;448;492;587;639
2860;Laval-en-Laonnois;145;252;267;282;302;504;554;655;710
2450;Lavaqueresse;177;312;327;342;362;624;686;799;860
2600;Laversine;153;267;282;297;317;534;587;691;747
2420;Le Catelet;191;338;353;368;388;676;744;862;925
2850;Le Charmel;117;199;214;229;249;399;439;529;578
2120;Le Hérie-la-Viéville;159;278;293;308;328;556;612;718;775
2170;Le Nouvion-en-Thiérache;188;333;348;363;383;665;732;848;911
2210;Le Plessier-Huleu;143;248;263;278;298;496;546;646;700
2140;Le Sourd;165;289;304;319;339;579;637;745;803
2340;Le Thuel;128;220;235;250;270;440;484;578;630
2490;Le Verguier;186;329;344;359;379;658;723;839;902
2420;Lehaucourt;182;321;336;351;371;643;707;821;883
2140;Lemé;164;288;303;318;338;575;633;740;799
2420;Lempire;189;334;349;364;384;669;736;853;916
2540;L'Épine-aux-Bois;79;128;143;158;178;256;282;358;400
2260;Lerzy;173;304;319;334;354;609;670;781;841
2360;Les Autels;148;258;273;288;308;515;567;668;724
