cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
59310;Beuvry-la-Forêt;270;486;501;516;536;973;1118;1247;1384
59217;Bévillers;212;378;393;408;428;755;868;986;1102
59380;Bierne;335;608;623;638;658;1216;1399;1540;1701
59380;Bissezeele;335;608;623;638;658;1216;1399;1540;1701
59173;Blaringhem;298;539;554;569;589;1078;1239;1373;1521
59268;Blécourt;218;389;404;419;439;778;894;1013;1131
59299;Boeschepe;312;565;580;595;615;1130;1300;1436;1589
59189;Boëseghem;291;526;541;556;576;1051;1209;1342;1487
59280;Bois-Grenier;288;520;535;550;570;1040;1196;1328;1472
59470;Bollezeele;331;601;616;631;651;1201;1381;1522;1682
59910;Bondues;285;514;529;544;564;1029;1183;1315;1457
59190;Borre;311;563;578;593;613;1126;1295;1432;1584
59111;Bouchain;226;404;419;434;454;808;929;1049;1170
59440;Boulogne-sur-Helpe;195;346;361;376;396;691;795;910;1019
59630;Bourbourg;333;604;619;634;654;1209;1390;1531;1691
59830;Bourghelles;280;505;520;535;555;1010;1162;1292;1433
59166;Bousbecque;292;528;543;558;578;1055;1213;1346;1492
59222;Bousies;200;355;370;385;405;710;817;932;1043
59178;Bousignies;245;439;454;469;489;879;1011;1135;1262
59149;Bousignies-sur-Roc;217;387;402;417;437;774;890;1009;1126
59217;Boussières-en-Cambrésis;220;393;408;423;443;785;903;1022;1141
59330;Boussières-sur-Sambre;209;372;387;402;422;744;855;973;1087
59168;Boussois;222;396;411;426;446;793;911;1031;1150
59870;Bouvignies;250;449;464;479;499;898;1032;1157;1287
59830;Bouvines;280;505;520;535;555;1010;1162;1292;1433
59123;Bray-Dunes;346;629;644;659;679;1258;1446;1589;1755
59730;Briastre;207;368;383;398;418;736;847;964;1077
59178;Brillon;245;439;454;469;489;879;1011;1135;1262
59630;Brouckerque;338;614;629;644;664;1228;1412;1553;1716
59470;Broxeele;331;601;616;631;651;1201;1381;1522;1682
59860;Bruay-sur-l'Escaut;254;456;471;486;506;913;1049;1175;1306
59490;Bruille-lez-Marchiennes;245;439;454;469;489;879;1011;1135;1262
59199;Bruille-Saint-Amand;267;481;496;511;531;961;1105;1234;1370
59151;Brunémont;224;400;415;430;450;800;920;1040;1160
59144;Bry;256;460;475;490;510;920;1058;1184;1316
59151;Bugnicourt;224;400;415;430;450;800;920;1040;1160
59137;Busigny;189;334;349;364;384;669;769;883;989
59285;Buysscheure;326;591;606;621;641;1183;1360;1499;1657
59190;Caëstre;300;543;558;573;593;1085;1248;1382;1531
59161;Cagnoncles;219;391;406;421;441;781;898;1018;1136
59400;Cambrai;215;383;398;413;433;766;881;1000;1116
59133;Camphin-en-Carembault;259;466;481;496;516;931;1071;1198;1331
59780;Camphin-en-Pévèle;279;503;518;533;553;1006;1157;1288;1428
59267;Cantaing-sur-Escaut;210;374;389;404;424;748;860;977;1092
59169;Cantin;228;408;423;438;458;815;937;1058;1180
59213;Capelle;249;447;462;477;497;894;1028;1153;1282
59160;Capinghem;284;513;528;543;563;1025;1179;1310;1453
59630;Cappelle-Brouck;333;604;619;634;654;1209;1390;1531;1691
59242;Cappelle-en-Pévèle;272;490;505;520;540;980;1127;1256;1394
59180;Cappelle-la-Grande;342;621;636;651;671;1243;1429;1571;1735
59217;Carnières;220;393;408;423;443;785;903;1022;1141
59112;Carnin;260;468;483;498;518;935;1075;1202;1336
59244;Cartignies;199;353;368;383;403;706;812;928;1038
59670;Cassel;307;556;571;586;606;1111;1278;1414;1565
59360;Le Cateau-Cambrésis;195;346;361;376;396;691;795;910;1019
59360;Catillon-sur-Sambre;195;346;361;376;396;691;795;910;1019
59217;Cattenières;220;393;408;423;443;785;903;1022;1141
59540;Caudry;212;378;393;408;428;755;868;986;1102
59191;Caullery;209;372;387;402;422;744;855;973;1087
59400;Cauroir;215;383;398;413;433;766;881;1000;1116
59680;Cerfontaine;212;378;393;408;428;755;868;986;1102
59930;La Chapelle-d'Armentières;287;518;533;548;568;1036;1192;1324;1467
59230;Château-l'Abbaye;253;454;469;484;504;909;1045;1171;1301
59147;Chemy;262;471;486;501;521;943;1084;1211;1345
59152;Chéreng;276;498;513;528;548;995;1144;1274;1414
59740;Choisies;199;353;368;383;403;706;812;928;1038
59740;Clairfayts;199;353;368;383;403;706;812;928;1038
59225;Clary;207;368;383;398;418;736;847;964;1077
59830;Cobrieux;280;505;520;535;555;1010;1162;1292;1433
59680;Colleret;212;378;393;408;428;755;868;986;1102
59560;Comines;295;533;548;563;583;1066;1226;1360;1506
59163;Condé-sur-l'Escaut;264;475;490;505;525;950;1093;1220;1355
59210;Coudekerque-Branche;343;623;638;653;673;1246;1433;1576;1740
59380;Coudekerque-Village;335;608;623;638;658;1216;1399;1540;1701
59552;Courchelettes;244;438;453;468;488;875;1006;1130;1258
59149;Cousolre;219;391;406;421;441;781;898;1018;1136
59310;Coutiches;270;486;501;516;536;973;1118;1247;1384
59279;Craywick;342;621;636;651;671;1243;1429;1571;1735
59154;Crespin;260;468;483;498;518;935;1075;1202;1336
59258;Crèvecœur-sur-l'Escaut;206;366;381;396;416;733;842;959;1072
59380;Crochte;335;608;623;638;658;1216;1399;1540;1701
59170;Croix;281;507;522;537;557;1014;1166;1297;1438
59222;Croix-Caluyau;201;357;372;387;407;714;821;937;1048
59500;Cuincy;237;424;439;454;474;849;976;1099;1223
59990;Curgies;250;449;464;479;499;898;1032;1157;1287
59268;Cuvillers;218;389;404;419;439;778;894;1013;1131
59830;Cysoing;280;505;520;535;555;1010;1162;1292;1433
59680;Damousies;212;378;393;408;428;755;868;986;1102
59187;Dechy;232;415;430;445;465;830;955;1076;1199
59127;Dehéries;215;383;398;413;433;766;881;1000;1116
59220;Denain;235;421;436;451;471;841;967;1090;1214
59890;Deûlémont;291;526;541;556;576;1051;1209;1342;1487
59740;Dimechaux;199;353;368;383;403;706;812;928;1038
59216;Dimont;203;361;376;391;411;721;829;946;1058
62147;Doignies;214;381;396;411;431;763;877;995;1111
59440;Dompierre-sur-Helpe;195;346;361;376;396;691;795;910;1019
59272;Don;263;473;488;503;523;946;1088;1216;1350
59500;Douai;233;417;432;447;467;834;959;1081;1204
59282;Douchy-les-Mines;232;415;430;445;465;830;955;1076;1199
59940;Le Doulieu;287;518;533;548;568;1036;1192;1324;1467
59440;Dourlers;195;346;361;376;396;691;795;910;1019
59630;Drincham;333;604;619;634;654;1209;1390;1531;1691
59140;Dunkerque;350;636;651;666;686;1273;1463;1607;1774
59173;Ebblinghem;303;548;563;578;598;1096;1261;1396;1545
59176;Écaillon;234;419;434;449;469;838;963;1085;1209
59740;Eccles;203;361;376;391;411;721;829;946;1058
59330;Éclaibes;205;364;379;394;414;729;838;955;1067
59620;Écuélin;202;359;374;389;409;718;825;941;1053
59114;Eecke;313;567;582;597;617;1134;1304;1441;1594
59600;Élesmes;218;389;404;419;439;778;894;1013;1131
59127;Élincourt;201;357;372;387;407;714;821;937;1048
