CP;Commune;Distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
59268;Blécourt;218;248,6666667;278,6666667;308,6666667;328,6666667;497,3333333;571,9333333;621,6666667;696,2666667
59299;Boeschepe;312;350,5;380,5;410,5;430,5;701;806,15;876,25;981,4
59189;Boëseghem;291;327,75;357,75;387,75;407,75;655,5;753,825;819,375;917,7
59280;Bois-Grenier;288;324,5;354,5;384,5;404,5;649;746,35;811,25;908,6
59470;Bollezeele;331;371,0833333;401,0833333;431,0833333;451,0833333;742,1666667;853,4916667;927,7083333;1039,033333
59910;Bondues;285;321,25;351,25;381,25;401,25;642,5;738,875;803,125;899,5
59190;Borre;311;349,4166667;379,4166667;409,4166667;429,4166667;698,8333333;803,6583333;873,5416667;978,3666667
59111;Bouchain;226;257,3333333;287,3333333;317,3333333;337,3333333;514,6666667;591,8666667;643,3333333;720,5333333
59440;Boulogne-sur-Helpe;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59630;Bourbourg;333;373,25;403,25;433,25;453,25;746,5;858,475;933,125;1045,1
59830;Bourghelles;280;315,8333333;345,8333333;375,8333333;395,8333333;631,6666667;726,4166667;789,5833333;884,3333333
59166;Bousbecque;292;328,8333333;358,8333333;388,8333333;408,8333333;657,6666667;756,3166667;822,0833333;920,7333333
59222;Bousies;200;229,1666667;259,1666667;289,1666667;309,1666667;458,3333333;527,0833333;572,9166667;641,6666667
59178;Bousignies;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
59149;Bousignies-sur-Roc;217;247,5833333;277,5833333;307,5833333;327,5833333;495,1666667;569,4416667;618,9583333;693,2333333
59217;Boussières-en-Cambrésis;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
59330;Boussières-sur-Sambre;209;238,9166667;268,9166667;298,9166667;318,9166667;477,8333333;549,5083333;597,2916667;668,9666667
59168;Boussois;222;253;283;313;333;506;581,9;632,5;708,4
59870;Bouvignies;250;283,3333333;313,3333333;343,3333333;363,3333333;566,6666667;651,6666667;708,3333333;793,3333333
59830;Bouvines;280;315,8333333;345,8333333;375,8333333;395,8333333;631,6666667;726,4166667;789,5833333;884,3333333
59123;Bray-Dunes;346;387,3333333;417,3333333;447,3333333;467,3333333;774,6666667;890,8666667;968,3333333;1084,533333
59730;Briastre;207;236,75;266,75;296,75;316,75;473,5;544,525;591,875;662,9
59178;Brillon;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
59630;Brouckerque;338;378,6666667;408,6666667;438,6666667;458,6666667;757,3333333;870,9333333;946,6666667;1060,266667
59470;Broxeele;331;371,0833333;401,0833333;431,0833333;451,0833333;742,1666667;853,4916667;927,7083333;1039,033333
59860;Bruay-sur-l'Escaut;254;287,6666667;317,6666667;347,6666667;367,6666667;575,3333333;661,6333333;719,1666667;805,4666667
59490;Bruille-lez-Marchiennes;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
59199;Bruille-Saint-Amand;267;301,75;331,75;361,75;381,75;603,5;694,025;754,375;844,9
59151;Brunémont;224;255,1666667;285,1666667;315,1666667;335,1666667;510,3333333;586,8833333;637,9166667;714,4666667
59144;Bry;256;289,8333333;319,8333333;349,8333333;369,8333333;579,6666667;666,6166667;724,5833333;811,5333333
59151;Bugnicourt;224;255,1666667;285,1666667;315,1666667;335,1666667;510,3333333;586,8833333;637,9166667;714,4666667
59137;Busigny;189;217,25;247,25;277,25;297,25;434,5;499,675;543,125;608,3
59285;Buysscheure;326;365,6666667;395,6666667;425,6666667;445,6666667;731,3333333;841,0333333;914,1666667;1023,866667
59190;Caëstre;300;337,5;367,5;397,5;417,5;675;776,25;843,75;945
59161;Cagnoncles;219;249,75;279,75;309,75;329,75;499,5;574,425;624,375;699,3
59400;Cambrai;215;245,4166667;275,4166667;305,4166667;325,4166667;490,8333333;564,4583333;613,5416667;687,1666667
59133;Camphin-en-Carembault;259;293,0833333;323,0833333;353,0833333;373,0833333;586,1666667;674,0916667;732,7083333;820,6333333
59780;Camphin-en-Pévèle;279;314,75;344,75;374,75;394,75;629,5;723,925;786,875;881,3
59267;Cantaing-sur-Escaut;210;240;270;300;320;480;552;600;672
59169;Cantin;228;259,5;289,5;319,5;339,5;519;596,85;648,75;726,6
59213;Capelle;249;282,25;312,25;342,25;362,25;564,5;649,175;705,625;790,3
59160;Capinghem;284;320,1666667;350,1666667;380,1666667;400,1666667;640,3333333;736,3833333;800,4166667;896,4666667
59630;Cappelle-Brouck;333;373,25;403,25;433,25;453,25;746,5;858,475;933,125;1045,1
59242;Cappelle-en-Pévèle;272;307,1666667;337,1666667;367,1666667;387,1666667;614,3333333;706,4833333;767,9166667;860,0666667
59180;Cappelle-la-Grande;342;383;413;443;463;766;880,9;957,5;1072,4
59217;Carnières;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
59112;Carnin;260;294,1666667;324,1666667;354,1666667;374,1666667;588,3333333;676,5833333;735,4166667;823,6666667
59244;Cartignies;199;228,0833333;258,0833333;288,0833333;308,0833333;456,1666667;524,5916667;570,2083333;638,6333333
59670;Cassel;307;345,0833333;375,0833333;405,0833333;425,0833333;690,1666667;793,6916667;862,7083333;966,2333333
59360;Le Cateau-Cambrésis;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59360;Catillon-sur-Sambre;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59217;Cattenières;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
59540;Caudry;212;242,1666667;272,1666667;302,1666667;322,1666667;484,3333333;556,9833333;605,4166667;678,0666667
59191;Caullery;209;238,9166667;268,9166667;298,9166667;318,9166667;477,8333333;549,5083333;597,2916667;668,9666667
59400;Cauroir;215;245,4166667;275,4166667;305,4166667;325,4166667;490,8333333;564,4583333;613,5416667;687,1666667
59680;Cerfontaine;212;242,1666667;272,1666667;302,1666667;322,1666667;484,3333333;556,9833333;605,4166667;678,0666667
59930;La Chapelle-d'Armentières;287;323,4166667;353,4166667;383,4166667;403,4166667;646,8333333;743,8583333;808,5416667;905,5666667
59230;Château-l'Abbaye;253;286,5833333;316,5833333;346,5833333;366,5833333;573,1666667;659,1416667;716,4583333;802,4333333
59147;Chemy;262;296,3333333;326,3333333;356,3333333;376,3333333;592,6666667;681,5666667;740,8333333;829,7333333
59152;Chéreng;276;311,5;341,5;371,5;391,5;623;716,45;778,75;872,2
59740;Choisies;199;228,0833333;258,0833333;288,0833333;308,0833333;456,1666667;524,5916667;570,2083333;638,6333333
59740;Clairfayts;199;228,0833333;258,0833333;288,0833333;308,0833333;456,1666667;524,5916667;570,2083333;638,6333333
59225;Clary;207;236,75;266,75;296,75;316,75;473,5;544,525;591,875;662,9
59830;Cobrieux;280;315,8333333;345,8333333;375,8333333;395,8333333;631,6666667;726,4166667;789,5833333;884,3333333
59680;Colleret;212;242,1666667;272,1666667;302,1666667;322,1666667;484,3333333;556,9833333;605,4166667;678,0666667
59560;Comines;295;332,0833333;362,0833333;392,0833333;412,0833333;664,1666667;763,7916667;830,2083333;929,8333333
59163;Condé-sur-l'Escaut;264;298,5;328,5;358,5;378,5;597;686,55;746,25;835,8
59210;Coudekerque-Branche;343;384,0833333;414,0833333;444,0833333;464,0833333;768,1666667;883,3916667;960,2083333;1075,433333
59380;Coudekerque-Village;335;375,4166667;405,4166667;435,4166667;455,4166667;750,8333333;863,4583333;938,5416667;1051,166667
59552;Courchelettes;244;276,8333333;306,8333333;336,8333333;356,8333333;553,6666667;636,7166667;692,0833333;775,1333333
59149;Cousolre;219;249,75;279,75;309,75;329,75;499,5;574,425;624,375;699,3
59310;Coutiches;270;305;335;365;385;610;701,5;762,5;854
59279;Craywick;342;383;413;443;463;766;880,9;957,5;1072,4
59154;Crespin;260;294,1666667;324,1666667;354,1666667;374,1666667;588,3333333;676,5833333;735,4166667;823,6666667
59258;Crèvecœur-sur-l'Escaut;206;235,6666667;265,6666667;295,6666667;315,6666667;471,3333333;542,0333333;589,1666667;659,8666667
59380;Crochte;335;375,4166667;405,4166667;435,4166667;455,4166667;750,8333333;863,4583333;938,5416667;1051,166667
59170;Croix;281;316,9166667;346,9166667;376,9166667;396,9166667;633,8333333;728,9083333;792,2916667;887,3666667
59222;Croix-Caluyau;201;230,25;260,25;290,25;310,25;460,5;529,575;575,625;644,7
59500;Cuincy;237;269,25;299,25;329,25;349,25;538,5;619,275;673,125;753,9
59990;Curgies;250;283,3333333;313,3333333;343,3333333;363,3333333;566,6666667;651,6666667;708,3333333;793,3333333
59268;Cuvillers;218;248,6666667;278,6666667;308,6666667;328,6666667;497,3333333;571,9333333;621,6666667;696,2666667
59830;Cysoing;280;315,8333333;345,8333333;375,8333333;395,8333333;631,6666667;726,4166667;789,5833333;884,3333333
59680;Damousies;212;242,1666667;272,1666667;302,1666667;322,1666667;484,3333333;556,9833333;605,4166667;678,0666667
59187;Dechy;232;263,8333333;293,8333333;323,8333333;343,8333333;527,6666667;606,8166667;659,5833333;738,7333333
59127;Dehéries;215;245,4166667;275,4166667;305,4166667;325,4166667;490,8333333;564,4583333;613,5416667;687,1666667
59220;Denain;235;267,0833333;297,0833333;327,0833333;347,0833333;534,1666667;614,2916667;667,7083333;747,8333333
59890;Deûlémont;291;327,75;357,75;387,75;407,75;655,5;753,825;819,375;917,7
59740;Dimechaux;199;228,0833333;258,0833333;288,0833333;308,0833333;456,1666667;524,5916667;570,2083333;638,6333333
59216;Dimont;203;232,4166667;262,4166667;292,4166667;312,4166667;464,8333333;534,5583333;581,0416667;650,7666667
62147;Doignies;214;244,3333333;274,3333333;304,3333333;324,3333333;488,6666667;561,9666667;610,8333333;684,1333333
59440;Dompierre-sur-Helpe;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59272;Don;263;297,4166667;327,4166667;357,4166667;377,4166667;594,8333333;684,0583333;743,5416667;832,7666667
59500;Douai;233;264,9166667;294,9166667;324,9166667;344,9166667;529,8333333;609,3083333;662,2916667;741,7666667
