CP;Commune;Distance;01-02;03-04;05-06;07-08;09-12;13-16 ;17-31 ;32-54
08290;Marlemont;140;276;291;301;316;553;635;743;838
08390;Marquigny;150;297;312;322;337;594;683;793;892
08400;Mars-sous-Bourcq;105;204;219;229;244;408;469;570;651
08400;Marvaux-Vieux;90;173;188;198;213;346;398;496;570
08110;Matton-et-Clémency;185;369;384;394;409;738;849;966;1080
08260;Maubert-Fontaine;160;318;333;343;358;635;730;842;946
08430;Mazerny;140;276;291;301;316;553;635;743;838
08270;Mesmont;120;235;250;260;275;470;541;644;731
08110;Messincourt;185;369;384;394;409;738;849;966;1080
08110;Mogues;195;390;405;415;430;779;896;1015;1133
08370;Moiry;195;390;405;415;430;779;896;1015;1133
08430;Mondigny;145;287;302;312;327;573;659;768;865
08130;Mont-Laurent;115;225;240;250;265;449;517;619;704
08400;Mont-Saint-Martin;100;194;209;219;234;388;446;545;624
08310;Mont-Saint-Remy;100;194;209;219;234;388;446;545;624
08250;Montcheutin;100;194;209;219;234;388;446;545;624
08090;Montcornet;165;328;343;353;368;656;754;867;972
08090;Montcy-Notre-Dame;155;307;322;332;347;614;707;817;919
08390;Montgon;120;235;250;260;275;470;541;644;731
08800;Monthermé;170;338;353;363;378;676;778;892;999
08400;Monthois;95;183;198;208;223;367;422;520;597
08170;Montigny-sur-Meuse;185;369;384;394;409;738;849;966;1080
08430;Montigny-sur-Vence;135;266;281;291;306;532;612;718;811
08220;Montmeillant;135;266;281;291;306;532;612;718;811
08250;Mouron;100;194;209;219;234;388;446;545;624
08210;Mouzon;180;359;374;384;399;718;825;941;1053
08150;Murtin-et-Bogny;150;297;312;322;337;594;683;793;892
08310;Ménil-Annelles;115;225;240;250;265;449;517;619;704
08310;Ménil-Lépinois;95;183;198;208;223;367;422;520;597
08300;Nanteuil-sur-Aisne;110;214;229;239;254;429;493;595;677
08300;Neuflize;95;183;198;208;223;367;422;520;597
08460;Neufmaison;145;287;302;312;327;573;659;768;865
08700;Neufmanil;165;328;343;353;368;656;754;867;972
08130;Neuville-Day;115;225;240;250;265;449;517;619;704
08380;Neuville-lez-Beaulieu;160;318;333;343;358;635;730;842;946
08090;Neuville-lès-This;150;297;312;322;337;594;683;793;892
08430;Neuvizy;130;256;271;281;296;511;588;694;785
08400;Noirval;115;225;240;250;265;449;517;619;704
08240;Nouart;130;256;271;281;296;511;588;694;785
08160;Nouvion-sur-Meuse;150;297;312;322;337;594;683;793;892
08700;Nouzonville;160;318;333;343;358;635;730;842;946
08270;Novion-Porcien;120;235;250;260;275;470;541;644;731
08300;Novy-Chevrières;115;225;240;250;265;449;517;619;704
08350;Noyers-Pont-Maugis;170;338;353;363;378;676;778;892;999
08240;Oches;130;256;271;281;296;511;588;694;785
08250;Olizy-Primat;100;194;209;219;234;388;446;545;624
08450;Omicourt;165;328;343;353;368;656;754;867;972
08430;Omont;150;297;312;322;337;594;683;793;892
08110;Osnes;185;369;384;394;409;738;849;966;1080
08310;Pauvres;105;204;219;229;244;408;469;570;651
08300;Perthes;100;194;209;219;234;388;446;545;624
08190;Poilcourt-Sydney;95;183;198;208;223;367;422;520;597
08430;Poix-Terron;135;266;281;291;306;532;612;718;811
08140;Pouru-aux-Bois;180;359;374;384;399;718;825;941;1053
08140;Pouru-Saint-Remy;175;348;363;373;388;697;801;916;1026
08290;Prez;150;297;312;322;337;594;683;793;892
08000;Prix-lès-Mézières;150;297;312;322;337;594;683;793;892
08370;Puilly-et-Charbeaux;195;390;405;415;430;779;896;1015;1133
08270;Puiseux;130;256;271;281;296;511;588;694;785
08110;Pure;185;369;384;394;409;738;849;966;1080
08400;Quatre-Champs;110;214;229;239;254;429;493;595;677
08400;Quilly;100;194;209;219;234;388;446;545;624
08430;Raillicourt;135;266;281;291;306;532;612;718;811
08600;Rancennes;210;421;436;446;461;841;967;1090;1214
08450;Raucourt-et-Flaba;175;348;363;373;388;697;801;916;1026
08230;Regniowez;170;338;353;363;378;676;778;892;999
08220;Remaucourt;125;245;260;270;285;491;564;669;758
08450;Remilly-Aillicourt;170;338;353;363;378;676;778;892;999
08150;Remilly-les-Pothées;150;297;312;322;337;594;683;793;892
08220;Renneville;135;266;281;291;306;532;612;718;811
08150;Renwez;165;328;343;353;368;656;754;867;972
08300;Rethel;105;204;219;229;244;408;469;570;651
08500;Revin;175;348;363;373;388;697;801;916;1026
08130;Rilly-sur-Aisne;115;225;240;250;265;449;517;619;704
08150;Rimogne;170;338;353;363;378;676;778;892;999
08220;Rocquigny;135;266;281;291;306;532;612;718;811
08230;Rocroi;160;318;333;343;358;635;730;842;946
08190;Roizy;95;183;198;208;223;367;422;520;597
08150;Rouvroy-sur-Audry;145;287;302;312;327;573;659;768;865
08220;Rubigny;135;266;281;291;306;532;612;718;811
08140;Rubécourt-et-Lamécourt;175;348;363;373;388;697;801;916;1026
08290;Rumigny;250;503;518;528;543;1006;1157;1288;1428
08110;Sachy;180;359;374;384;399;718;825;941;1053
08110;Sailly;190;379;394;404;419;759;873;991;1106
08350;Saint-Aignan;170;338;353;363;378;676;778;892;999
08310;Saint-Clément-à-Arnes;90;173;188;198;213;346;398;496;570
08360;Saint-Fergeux;115;225;240;250;265;449;517;619;704
08190;Saint-Germainmont;110;214;229;239;254;429;493;595;677
