cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
54930;Fraisnes-en-Saintois;186;371;386;396;411;742;854;971;1085
54200;Francheville;156;309;324;334;349;619;711;822;924
54830;Franconville;180;359;374;384;399;718;825;941;1053
54450;Fréménil;215;431;446;456;471;862;991;1114;1240
54450;Frémonville;229;460;475;485;500;920;1058;1184;1316
54260;Fresnois-la-Montagne;181;361;376;386;401;722;830;946;1058
54800;Friauville;162;322;337;347;362;643;740;852;956
54160;Frolois;176;351;366;376;391;701;806;921;1031
54390;Frouard;173;344;359;369;384;689;792;906;1015
54290;Froville;201;402;417;427;442;804;925;1045;1165
54120;Gélacourt;223;447;462;472;487;895;1029;1154;1283
54115;Gélaucourt;174;346;361;371;386;693;797;911;1021
54110;Gellenoncourt;191;381;396;406;421;763;877;995;1112
54115;Gémonville;175;348;363;373;388;697;801;916;1026
54740;Gerbécourt-et-Haplemont;190;379;394;404;419;759;873;991;1106
54830;Gerbéviller;208;417;432;442;457;833;958;1080;1203
54170;Germiny;170;338;353;363;378;676;778;892;999
54740;Germonville;199;398;413;423;438;796;915;1035;1155
54380;Gézoncourt;159;315;330;340;355;631;726;837;940
54112;Gibeaumeix;140;276;291;301;316;553;635;743;838
54780;Giraumont;173;344;359;369;384;689;792;906;1015
54830;Giriviller;211;423;438;448;463;845;972;1094;1219
54122;Glonville;219;439;454;464;479;878;1010;1134;1262
54450;Gogney;227;456;471;481;496;911;1048;1174;1305
54800;Gondrecourt-Aix;165;328;343;353;368;656;754;867;972
54840;Gondreville;151;299;314;324;339;598;688;797;897
54450;Gondrexon;222;445;460;470;485;891;1024;1149;1278
54730;Gorcy;187;373;388;398;413;746;858;976;1090
54330;Goviller;170;338;353;363;378;676;778;892;999
54260;Grand-Failly;171;340;355;365;380;680;782;896;1004
54115;Grimonviller;180;359;374;384;399;718;825;941;1053
54290;Gripport;199;398;413;423;438;796;915;1035;1155
54380;Griscourt;170;338;353;363;378;676;778;892;999
54470;Grosrouvres;148;293;308;318;333;586;673;783;881
54930;Gugney;190;379;394;404;419;759;873;991;1106
54113;Gye;145;287;302;312;327;573;659;768;865
54120;Hablainville;219;439;454;464;479;878;1010;1134;1262
54470;Hagéville;173;344;359;369;384;689;792;906;1015
54290;Haigneville;199;398;413;423;438;796;915;1035;1155
54450;Halloville;229;460;475;485;500;920;1058;1184;1316
54330;Hammeville;175;348;363;373;388;697;801;916;1026
54470;Hamonville;145;287;302;312;327;573;659;768;865
54620;Han-devant-Pierrepont;175;348;363;373;388;697;801;916;1026
54800;Hannonville-Suzémont;161;320;335;345;360;639;735;847;951
54110;Haraucourt;175;348;363;373;388;697;801;916;1026
54450;Harbouey;229;460;475;485;500;920;1058;1184;1316
54740;Haroué;191;381;396;406;421;763;877;995;1112
54800;Hatrize;166;330;345;355;370;660;759;872;978
54860;Haucourt-Moulaine;194;388;403;413;428;775;892;1010;1128
54830;Haudonville;209;419;434;444;459;837;963;1085;1208
54290;Haussonville;193;386;401;411;426;771;887;1005;1122
54180;Heillecourt;176;351;366;376;391;701;806;921;1031
54370;Hénaménil;208;417;432;442;457;833;958;1080;1203
54450;Herbéviller;218;437;452;462;477;874;1005;1129;1257
54300;Hériménil;198;396;411;421;436;792;911;1030;1149
54440;Herserange;199;398;413;423;438;796;915;1035;1155
54370;Hoéville;196;392;407;417;432;784;901;1020;1139
54310;Homécourt;177;353;368;378;393;705;811;926;1037
54330;Houdelmont;179;357;372;382;397;713;820;936;1047
54180;Houdemont;175;348;363;373;388;697;801;916;1026
54330;Houdreville;179;357;372;382;397;713;820;936;1047
54930;Housséville;190;379;394;404;419;759;873;991;1106
54110;Hudiviller;189;377;392;402;417;755;868;986;1101
54590;Hussigny-Godbrange;200;400;415;425;440;800;920;1040;1160
54450;Igney;221;443;458;468;483;887;1020;1144;1273
54200;Jaillon;159;315;330;340;355;631;726;837;940
54800;Jarny;171;340;355;365;380;680;782;896;1004
54140;Jarville-la-Malgrange;179;357;372;382;397;713;820;936;1047
54470;Jaulny;164;326;341;351;366;652;749;862;967
54114;Jeandelaincourt;193;386;401;411;426;771;887;1005;1122
54800;Jeandelize;159;315;330;340;355;631;726;837;940
54740;Jevoncourt;203;406;421;431;446;812;934;1055;1176
54700;Jezainville;177;353;368;378;393;705;811;926;1037
54240;Jœuf;176;351;366;376;391;701;806;921;1031
54300;Jolivet;206;412;427;437;452;825;948;1070;1192
54620;Joppécourt;185;369;384;394;409;738;849;966;1080
54800;Jouaville;176;351;366;376;391;701;806;921;1031
54490;Joudreville;170;338;353;363;378;676;778;892;999
54370;Juvrecourt;214;429;444;454;469;858;986;1109;1235
54800;Labry;169;336;351;361;376;672;773;887;994
54120;Lachapelle;223;447;462;472;487;895;1029;1154;1283
54200;Lagney;143;282;297;307;322;565;650;758;854
54770;Laître-sous-Amance;181;361;376;386;401;722;830;946;1058
54720;Laix;183;365;380;390;405;730;839;956;1069
54115;Lalœuf;175;348;363;373;388;697;801;916;1026
54300;Lamath;203;406;421;431;446;812;934;1055;1176
54360;Landécourt;207;414;429;439;454;829;953;1075;1198
54380;Landremont;177;353;368;378;393;705;811;926;1037
54970;Landres;173;344;359;369;384;689;792;906;1015
54280;Laneuvelotte;184;367;382;392;407;734;844;961;1074
54370;Laneuveville-aux-Bois;216;433;448;458;473;866;996;1119;1246
54570;Laneuveville-derrière-Foug;139;274;289;299;314;548;631;738;833
54740;Laneuveville-devant-Bayon;193;386;401;411;426;771;887;1005;1122
54410;Laneuveville-devant-Nancy;182;363;378;388;403;726;835;951;1063
54760;Lanfroicourt;188;375;390;400;415;751;863;981;1096
54150;Lantéfontaine;173;344;359;369;384;689;792;906;1015
54950;Laronxe;212;425;440;450;465;850;977;1099;1224
54520;Laxou;166;330;345;355;370;660;759;872;978
54690;Lay-Saint-Christophe;175;348;363;373;388;697;801;916;1026
54570;Lay-Saint-Remy;134;264;279;289;304;528;607;713;806
54740;Lebeuville;196;392;407;417;432;784;901;1020;1139
54450;Leintrey;225;452;467;477;492;903;1039;1164;1294
54740;Lemainville;187;373;388;398;413;746;858;976;1090
54740;Leménil-Mitry;194;388;403;413;428;775;892;1010;1128
54110;Lenoncourt;188;375;390;400;415;751;863;981;1096
54700;Lesménils;196;392;407;417;432;784;901;1020;1139
54610;Létricourt;194;388;403;413;428;775;892;1010;1128
54720;Lexy;191;381;396;406;421;763;877;995;1112
54760;Leyr;186;371;386;396;411;742;854;971;1085
54470;Limey-Remenauville;152;301;316;326;341;602;692;802;903
54470;Lironville;152;301;316;326;341;602;692;802;903
54460;Liverdun;166;330;345;355;370;660;759;872;978
54700;Loisy;162;322;337;347;362;643;740;852;956
54810;Longlaville;198;396;411;421;436;792;911;1030;1149
54260;Longuyon;172;342;357;367;382;685;787;901;1010
54400;Longwy;194;388;403;413;428;775;892;1010;1128
54290;Lorey;204;408;423;433;448;817;939;1060;1181
54290;Loromontzey;207;414;429;439;454;829;953;1075;1198
54150;Lubey;170;338;353;363;378;676;778;892;999
54200;Lucey;142;280;295;305;320;561;645;753;849
54710;Ludres;174;346;361;371;386;693;797;911;1021
54300;Lunéville;197;394;409;419;434;788;906;1025;1144
54210;Lupcourt;182;363;378;388;403;726;835;951;1063
54129;Magnières;217;435;450;460;475;870;1001;1124;1251
54700;Maidières;162;322;337;347;362;643;740;852;956
54610;Mailly-sur-Seille;207;414;429;439;454;829;953;1075;1198
54150;Mairy-Mainville;183;365;380;390;405;730;839;956;1069
54370;Maixe;199;398;413;423;438;796;915;1035;1155
54550;Maizières;159;315;330;340;355;631;726;837;940
54560;Malavillers;178;355;370;380;395;709;816;931;1042
54670;Malleloy;177;353;368;378;393;705;811;926;1037
54220;Malzéville;178;355;370;380;395;709;816;931;1042
54470;Mamey;158;313;328;338;353;627;721;832;935
54150;Mance;177;353;368;378;393;705;811;926;1037
54790;Mancieulles;177;353;368;378;393;705;811;926;1037
54470;Mandres-aux-Quatre-Tours;143;282;297;307;322;565;650;758;854
54290;Mangonville;196;392;407;417;432;784;901;1020;1139
54210;Manoncourt-en-Vermois;183;365;380;390;405;730;839;956;1069
54385;Manoncourt-en-Woëvre;162;322;337;347;362;643;740;852;956
54385;Manonville;151;299;314;324;339;598;688;797;897
54300;Manonviller;211;423;438;448;463;845;972;1094;1219
54300;Marainviller;211;423;438;448;463;845;972;1094;1219
54820;Marbache;171;340;355;365;380;680;782;896;1004
54230;Maron;161;320;335;345;360;639;735;847;951
54800;Mars-la-Tour;165;328;343;353;368;656;754;867;972
54330;Marthemont;171;340;355;365;380;680;782;896;1004
54380;Martincourt;201;402;417;427;442;804;925;1045;1165
54830;Mattexey;213;427;442;452;467;854;982;1104;1230
54320;Maxéville;167;332;347;357;372;664;763;877;983
54280;Mazerulles;192;384;399;409;424;767;882;1000;1117
54360;Méhoncourt;199;398;413;423;438;796;915;1035;1155
54200;Ménil-la-Tour;159;315;330;340;355;631;726;837;940
54960;Mercy-le-Bas;180;359;374;384;399;718;825;941;1053
54560;Mercy-le-Haut;178;355;370;380;395;709;816;931;1042
54850;Méréville;177;353;368;378;393;705;811;926;1037
54120;Merviller;224;450;465;475;490;899;1034;1159;1289
54850;Messein;177;353;368;378;393;705;811;926;1037
54135;Mexy;196;392;407;417;432;784;901;1020;1139
54540;Mignéville;220;441;456;466;481;883;1015;1139;1267
54670;Millery;182;363;378;388;403;726;835;951;1063
54385;Minorville;152;301;316;326;341;602;692;802;903
54580;Moineville;169;336;351;361;376;672;773;887;994
54760;Moivrons;191;381;396;406;421;763;877;995;1112
54300;Moncel-lès-Lunéville;201;402;417;427;442;804;925;1045;1165
54280;Moncel-sur-Seille;195;390;405;415;430;779;896;1015;1133
54700;Montauville;160;318;333;343;358;635;730;842;946
54111;Mont-Bonvillers;171;340;355;365;380;680;782;896;1004
54760;Montenoy;183;365;380;390;405;730;839;956;1069
54540;Montigny;223;447;462;472;487;895;1029;1154;1283
54870;Montigny-sur-Chiers;180;359;374;384;399;718;825;941;1053
54170;Mont-l'Étroit;155;307;322;332;347;614;707;817;919
54113;Mont-le-Vignoble;149;295;310;320;335;590;678;788;887
54450;Montreux;224;450;465;475;490;899;1034;1159;1289
54350;Mont-Saint-Martin;191;381;396;406;421;763;877;995;1112
54360;Mont-sur-Meurthe;201;402;417;427;442;804;925;1045;1165
54920;Morfontaine;183;365;380;390;405;730;839;956;1069
54830;Moriviller;209;419;434;444;459;837;963;1085;1208
54700;Morville-sur-Seille;195;390;405;415;430;779;896;1015;1133
54370;Mouacourt;214;429;444;454;469;858;986;1109;1235
54800;Mouaville;165;328;343;353;368;656;754;867;972
54700;Mousson;170;338;353;363;378;676;778;892;999
54660;Moutiers;173;344;359;369;384;689;792;906;1015
54113;Moutrot;150;297;312;322;337;594;683;793;892
54118;Moyen;216;433;448;458;473;866;996;1119;1246
54490;Murville;175;348;363;373;388;697;801;916;1026
54000;Nancy;175;348;363;373;388;697;801;916;1026
54540;Neufmaisons;233;468;483;493;508;936;1077;1203;1337
54230;Neuves-Maisons;166;330;345;355;370;660;759;872;978
54540;Neuviller-lès-Badonviller;229;460;475;485;500;920;1058;1184;1316
54290;Neuviller-sur-Moselle;191;381;396;406;421;763;877;995;1112
54610;Nomeny;199;398;413;423;438;796;915;1035;1155
54450;Nonhigny;230;462;477;487;502;924;1062;1189;1321
54150;Norroy-le-Sec;173;344;359;369;384;689;792;906;1015
54700;Norroy-lès-Pont-à-Mousson;166;330;345;355;370;660;759;872;978
54385;Noviant-aux-Prés;149;295;310;320;335;590;678;788;887
54170;Ochey;155;307;322;332;347;614;707;817;919
54450;Ogéviller;216;433;448;458;473;866;996;1119;1246
54330;Ognéville;178;355;370;380;395;709;816;931;1042
54800;Olley;158;313;328;338;353;627;721;832;935
54330;Omelmont;179;357;372;382;397;713;820;936;1047
54890;Onville;175;348;363;373;388;697;801;916;1026
54740;Ormes-et-Ville;189;377;392;402;417;755;868;986;1101
54260;Othe;177;353;368;378;393;705;811;926;1037
54150;Ozerailles;170;338;353;363;378;676;778;892;999
54200;Pagney-derrière-Barine;145;287;302;312;327;573;659;768;865
54530;Pagny-sur-Moselle;171;340;355;365;380;680;782;896;1004
54470;Pannes;195;390;405;415;430;779;896;1015;1133
54330;Parey-Saint-Césaire;178;355;370;380;395;709;816;931;1042
54370;Parroy;211;423;438;448;463;845;972;1094;1219
54480;Parux;236;474;489;499;514;949;1091;1218;1353
54260;Petit-Failly;177;353;368;378;393;705;811;926;1037
54480;Petitmont;237;476;491;501;516;953;1096;1223;1358
54120;Pettonville;221;443;458;468;483;887;1020;1144;1273
54540;Pexonne;230;462;477;487;502;924;1062;1189;1321
54610;Phlin;204;408;423;433;448;817;939;1060;1181
54490;Piennes;170;338;353;363;378;676;778;892;999
54200;Pierre-la-Treiche;150;297;312;322;337;594;683;793;892
54540;Pierre-Percée;237;476;491;501;516;953;1096;1223;1358
54620;Pierrepont;178;355;370;380;395;709;816;931;1042
54160;Pierreville;178;355;370;380;395;709;816;931;1042
54340;Pompey;174;346;361;371;386;693;797;911;1021
54700;Pont-à-Mousson;163;324;339;349;364;647;744;857;962
54550;Pont-Saint-Vincent;167;332;347;357;372;664;763;877;983
54700;Port-sur-Seille;194;388;403;413;428;775;892;1010;1128
54116;Praye;185;369;384;394;409;738;849;966;1080
54530;Prény;170;338;353;363;378;676;778;892;999
54490;Preutin-Higny;179;357;372;382;397;713;820;936;1047
54160;Pulligny;179;357;372;382;397;713;820;936;1047
54115;Pulney;181;361;376;386;401;722;830;946;1058
54425;Pulnoy;182;363;378;388;403;726;835;951;1063
54800;Puxe;160;318;333;343;358;635;730;842;946
54800;Puxieux;167;332;347;357;372;664;763;877;983
54330;Quevilloncourt;179;357;372;382;397;713;820;936;1047
54540;Raon-lès-Leau;250;503;518;528;543;1006;1157;1288;1428
54610;Raucourt;205;410;425;435;450;821;944;1065;1187
54370;Raville-sur-Sânon;202;404;419;429;444;808;929;1050;1171
54370;Réchicourt-la-Petite;215;431;446;456;471;862;991;1114;1240
54450;Réclonville;217;435;450;460;475;870;1001;1124;1251
54300;Rehainviller;198;396;411;421;436;792;911;1030;1149
54120;Reherrey;223;447;462;472;487;895;1029;1154;1283
54430;Réhon;182;363;378;388;403;726;835;951;1063
54450;Reillon;220;441;456;466;481;883;1015;1139;1267
54470;Rembercourt-sur-Mad;167;332;347;357;372;664;763;877;983
54830;Remenoville;212;425;440;450;465;850;977;1099;1224
